,,,,,,,,,,,,Język polski,,,,,Matematyka,,,,,Język angielski,,,,,Język francuski,,,,,Język hiszpański,,,,,Język niemiecki,,,,,Język rosyjski,,,,,Język włoski,,,,
ID OKE,województwo - nazwa,powiat - nazwa,Gmina - nazwa,Typ gminy,Kod teryt gminy,RSPO,"rodzaj placówki
",czy publiczna,Nazwa szkoły,Miejscowość,Ulica nr,"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%)
1,Kujawsko-Pomorskie,Bydgoszcz,Bydgoszcz,Gmina miejska,0461011,10990,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 58 IM. IRENY SENDLEROWEJ W BYDGOSZCZY,Bydgoszcz,ul. Gdańska 53a,71,43,18,47,49,70,29,19,24,16,73,49,31,35,18,,,,,,,,,,,,,,,,,,,,,,,,,
1,Kujawsko-Pomorskie,Bydgoszcz,Bydgoszcz,Gmina miejska,0461011,10991,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 63 Z ODDZIAŁAMI SPORTOWYMI W BYDGOSZCZY,Bydgoszcz,ul. Seweryna Goszczyńskiego 3,108,58,19,61,67,109,43,25,36,28,108,71,26,80,98,,,,,,,,,,,1,,,,,,,,,,,,,,
1,Kujawsko-Pomorskie,Bydgoszcz,Bydgoszcz,Gmina miejska,0461011,10992,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 65 IM. CZESŁAWA TAŃSKIEGO Z ODDZIAŁAMI INTEGRACYJNYMI I SPORTOWYMI W BYDGOSZCZY,Bydgoszcz,ul. Tomasza Golloba 7,109,61,20,67,71,109,48,26,48,20,109,74,27,85,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,Kujawsko-Pomorskie,Bydgoszcz,Bydgoszcz,Gmina miejska,0461011,10993,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 66 IM. MISJI POKOJOWYCH ONZ Z ODDZIAŁAMI SPORTOWYMI W BYDGOSZCZY,Bydgoszcz,"ul. gen. Augusta Emila Fieldorfa ""Nila"" 3",90,60,17,62,51,90,41,23,42,44,91,67,28,75,98,,,,,,,,,,,,,,,,,,,,,,,,,
1,Kujawsko-Pomorskie,Bydgoszcz,Bydgoszcz,Gmina miejska,0461011,11643,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 45 IM. KANAŁU BYDGOSKIEGO Z ODDZIAŁAMI SPORTOWYMI W BYDGOSZCZY,Bydgoszcz,ul. Staroszkolna 12,64,48,20,49,56,64,31,19,24,24,64,53,31,47,18,,,,,,,,,,,,,,,,,,,,,,,,,
1,Kujawsko-Pomorskie,Bydgoszcz,Bydgoszcz,Gmina miejska,0461011,11645,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 18 IM. HANSA CHRISTIANA ANDERSENA Z ODDZIAŁAMI INTEGRACYJNYMI W BYDGOSZCZY,Bydgoszcz,ul. Pijarów 4,66,63,17,64,51,66,58,26,56,16,65,75,26,87,100,,,,,,,,,,,1,,,,,,,,,,,,,,
1,Kujawsko-Pomorskie,Bydgoszcz,Bydgoszcz,Gmina miejska,0461011,11649,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 31 IM. JÓZEFA PIŁSUDSKIEGO Z ODDZIAŁAMI SPORTOWYMI I MISTRZOSTWA SPORTOWEGO W BYDGOSZCZY,Bydgoszcz,ul. Mieczysława Karłowicza 2,81,65,18,69,76,81,49,26,48,16,82,73,27,84,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,Kujawsko-Pomorskie,Bydgoszcz,Bydgoszcz,Gmina miejska,0461011,11731,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 12 IM. FRANCISZKA ŻWIRKI I STANISŁAWA WIGURY Z ODDZIAŁAMI INTEGRACYJNYMI W BYDGOSZCZY,Bydgoszcz,ul. Kcyńska 49,56,60,20,62,64,56,49,26,44,24,57,72,28,85,100,,,,,,,,,,,1,,,,,,,,,,,,,,
1,Kujawsko-Pomorskie,Bydgoszcz,Bydgoszcz,Gmina miejska,0461011,11897,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 16 IM. MARIANA TURWIDA Z ODDZIAŁAMI SPORTOWYMI W BYDGOSZCZY,Bydgoszcz,ul. Koronowska 74,73,65,21,69,71,73,50,25,52,16,73,76,25,87,100,,,,,,3,,,,,1,,,,,,,,,,,,,,
1,Kujawsko-Pomorskie,Bydgoszcz,Bydgoszcz,Gmina miejska,0461011,11900,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 19 IM. MIKOŁAJA KOPERNIKA W BYDGOSZCZY,Bydgoszcz,ul. Kapliczna 7,9,,,,,9,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Kujawsko-Pomorskie,Bydgoszcz,Bydgoszcz,Gmina miejska,0461011,12052,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 32 IM. FLORIANA KAJI Z ODDZIAŁAMI SPORTOWYMI I DWUJĘZYCZNYMI W BYDGOSZCZY,Bydgoszcz,ul. Bałtycka 59,118,66,17,69,71,118,57,27,60,24,121,79,25,91,100,,,,,,,,,,,2,,,,,,,,,,,,,,
1,Kujawsko-Pomorskie,Bydgoszcz,Bydgoszcz,Gmina miejska,0461011,12054,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 35 IM.JAROSŁAWA DĄBROWSKIEGO W BYDGOSZCZY,Bydgoszcz,ul. Nakielska 273,43,61,19,62,60,43,59,25,60,68,43,75,28,89,98,,,,,,,,,,,,,,,,,,,,,,,,,
1,Kujawsko-Pomorskie,Bydgoszcz,Bydgoszcz,Gmina miejska,0461011,12057,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 40 W BYDGOSZCZY,Bydgoszcz,ul. Puszczykowa 11,32,71,18,76,80,32,61,29,66,100,33,76,24,87,96,,,,,,,,,,,,,,,,,,,,,,,,,
1,Kujawsko-Pomorskie,Bydgoszcz,Bydgoszcz,Gmina miejska,0461011,12060,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 47 IM.BRONISŁAWA MALINOWSKIEGO Z ODDZIAŁAMI MISTRZOSTAWA SPORTOWEGO W BYDGOSZCZY,Bydgoszcz,ul. Adama Czartoryskiego 18,31,46,20,51,51,31,38,23,36,16,33,47,26,36,36,,,,,,,,,,,,,,,,,,,,,,,,,
1,Kujawsko-Pomorskie,Bydgoszcz,Bydgoszcz,Gmina miejska,0461011,12128,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 60 IM. HUBERTA WAGNERA Z ODDZIAŁAMI SPORTOWYMI I MISTRZOSTWA SPORTOWEGO W BYDGOSZCZY,Bydgoszcz,ul. Glinki 117,128,61,19,64,76,128,53,27,52,16,128,74,28,89,98,,,,,,,,,,,1,,,,,,,,,,,,,,
1,Kujawsko-Pomorskie,Bydgoszcz,Bydgoszcz,Gmina miejska,0461011,12165,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 64 IM. 650-LECIA BYDGOSZCZY Z ODDZIAŁAMI SPORTOWYMI W BYDGOSZCZY,Bydgoszcz,ul.  Sardynkowa 7,92,60,19,62,71,92,49,25,50,52,94,69,30,84,98,,,,,,,,,,,,,,,,,,,,,,,,,
1,Kujawsko-Pomorskie,Bydgoszcz,Bydgoszcz,Gmina miejska,0461011,12378,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 13 IM. PREZYDENTA LEONA BARCISZEWSKIEGO Z ODDZIAŁAMI INTEGRACYJNYMI I SPECJALNYMI W BYDGOSZCZY,Bydgoszcz,ul. Słoneczna 26,33,50,17,49,44,33,38,19,36,28,31,65,30,75,95,,,,,,,,,,,2,,,,,,,,,,,,,,
1,Kujawsko-Pomorskie,Bydgoszcz,Bydgoszcz,Gmina miejska,0461011,12432,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 61 IM. BOHATERÓW WESTERPLATTE W BYDGOSZCZY,Bydgoszcz,ul. Krucza 5a,48,56,19,58,60,48,46,31,34,20,48,69,28,77,98,,,,,,,,,,,,,,,,,,,,,,,,,
1,Kujawsko-Pomorskie,Bydgoszcz,Bydgoszcz,Gmina miejska,0461011,12434,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 26 IM.ROMUALDA TRAUGUTTA W BYDGOSZCZY,Bydgoszcz,ul. Zacisze 16,20,49,19,48,33,20,30,16,28,24,21,44,24,36,20,,,,,,,,,,,,,,,,,,,,,,,,,
1,Kujawsko-Pomorskie,Bydgoszcz,Bydgoszcz,Gmina miejska,0461011,12435,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 57 IM. TOWARZYSTWA MIŁOŚNIKÓW MIASTA BYDGOSZCZY,Bydgoszcz,ul. Bohaterów Westerplatte 2,39,62,21,62,56,39,45,24,44,8,40,68,28,77,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,Kujawsko-Pomorskie,Bydgoszcz,Bydgoszcz,Gmina miejska,0461011,12437,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 62 IM. ŻOŁNIERZY 1 DYWIZJI PIECHOTY IM. TADEUSZA KOŚCIUSZKI W BYDGOSZCZY,Bydgoszcz,ul. Stawowa 53,58,64,19,68,69,58,50,25,44,20,58,68,25,71,69,,,,,,,,,,,,,,,,,,,,,,,,,
1,Kujawsko-Pomorskie,Bydgoszcz,Bydgoszcz,Gmina miejska,0461011,12452,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 55 SPECJALNA DLA UCZNIÓW NIEDOSTOSOWANYCH SPOŁECZNIE ORAZ Z ZABURZENIAMI ZACHOWANIA W BYDGOSZCZY,Bydgoszcz,ul. Romualda Traugutta 5,6,,,,,6,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Kujawsko-Pomorskie,Bydgoszcz,Bydgoszcz,Gmina miejska,0461011,12940,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 25 IM. SYNÓW PUŁKÓW Z ODDZIAŁAMI INTEGRACYJNYMI W BYDGOSZCZY,Bydgoszcz,ul. Adama Grzymały Siedleckiego 11,79,67,18,71,71,79,60,25,60,56,78,80,23,91,98,,,,,,,,,,,3,,,,,,,,,,,,,,
1,Kujawsko-Pomorskie,Bydgoszcz,Bydgoszcz,Gmina miejska,0461011,12943,dla dorosłych,Tak,SZKOŁA PODSTAWOWA DLA DOROSŁYCH W BYDGOSZCZY,Bydgoszcz,ul. Wiślana 27,9,,,,,9,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Kujawsko-Pomorskie,Bydgoszcz,Bydgoszcz,Gmina miejska,0461011,12944,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 27 IM. ZDZISŁAWA KRZYSZKOWIAKA Z ODDZIAŁAMI SPORTOWYMI W BYDGOSZCZY,Bydgoszcz,ul. Sielska 34,25,53,17,56,42,25,37,21,28,48,24,60,30,59,18,,,,,,,,,,,1,,,,,,,,,,,,,,
1,Kujawsko-Pomorskie,Bydgoszcz,Bydgoszcz,Gmina miejska,0461011,17492,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 48 IM. 16 PUŁKU UŁANÓW WIELKOPOLSKICH Z ODDZIAŁAMI SPECJALNYMI I SPORTOWYMI W BYDGOSZCZY,Bydgoszcz,ul. Ludwika Waryńskiego 1,54,58,17,57,53,54,43,28,34,16,56,53,30,50,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,Kujawsko-Pomorskie,Bydgoszcz,Bydgoszcz,Gmina miejska,0461011,17495,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 22 IM. MJR. HENRYKA DOBRZAŃSKIEGO-HUBALA W BYDGOSZCZY,Bydgoszcz,ul. Hutnicza 89,19,58,16,58,47,19,29,18,32,20,18,49,29,49,20,,,,,,,,,,,1,,,,,,,,,,,,,,
