,,,,,,,,,,,,Język polski,,,,,Matematyka,,,,,Język angielski,,,,,Język francuski,,,,,Język hiszpański,,,,,Język niemiecki,,,,,Język rosyjski,,,,,Język włoski,,,,
ID OKE,województwo - nazwa,powiat - nazwa,Gmina - nazwa,Typ gminy,Kod teryt gminy,RSPO,"rodzaj placówki
",czy publiczna,Nazwa szkoły,Miejscowość,Ulica nr,"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%)
3,Lubelskie,Chełm,Chełm,Gmina miejska,0662011,27083,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 3 Z ODDZIAŁAMI INTEGRACYJNYMI IM. ADAMA MICKIEWICZA W CHEŁMIE,Chełm,ul. Rejowiecka 76,36,62,18,62,62,36,44,24,34,20,36,68,28,80,95,,,,,,,,,,,,,,,,,,,,,,,,,
3,Lubelskie,Chełm,Chełm,Gmina miejska,0662011,29956,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 7 IM. GEN. WŁADYSŁAWA SIKORSKIEGO W CHEŁMIE,Chełm,ul. Synów Pułku 15,55,61,19,62,49,55,45,25,40,40,55,65,32,76,98,,,,,,,,,,,,,,,,,,,,,,,,,
3,Lubelskie,Chełm,Chełm,Gmina miejska,0662011,52867,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 8 IM. BOLESŁAWA ZYGMUNTA WIRSKIEGO W CHEŁMIE,Chełm,ul. Połaniecka 10,79,69,17,69,64,79,49,24,48,24,78,73,23,77,100,,,,,,,,,,,1,,,,,,,,,,,,,,
3,Lubelskie,Lublin,Lublin,Gmina miejska,0663011,6028,dla młodzieży,Tak,SZKOŁA PODSTAWOWA SPECJALNA NR 56 W LUBLINIE,Lublin,ul. Diamentowa 2,16,23,11,21,20,15,14,6,16,16,16,24,17,18,18,,,,,,,,,,,,,,,,,,,,,,,,,
3,Lubelskie,Lublin,Lublin,Gmina miejska,0663011,38700,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 3 IM. JULIUSZA SŁOWACKIEGO W LUBLINIE,Lublin,ul. Balladyny 22,63,72,17,76,78,63,63,29,72,100,62,79,26,92,98,,,,,,1,,,,,,,,,,,,,,,,,,,
3,Lubelskie,Lublin,Lublin,Gmina miejska,0663011,38820,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 4 IM. ADAMA MICKIEWICZA W LUBLINIE,Lublin,ul. Hiacyntowa 69,75,65,19,69,56,75,58,26,60,60,76,80,24,89,98,,,,,,1,,,,,,,,,,,,,,,,,,,
3,Lubelskie,Lublin,Lublin,Gmina miejska,0663011,44512,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 6 IM. ROMUALDA TRAUGUTTA W LUBLINIE,Lublin,ul. Czwartaków 11,70,71,15,73,76,70,64,26,68,92,69,83,22,93,100,,,,,,,,,,,2,,,,,,,,,,,,,,
3,Lubelskie,Lublin,Lublin,Gmina miejska,0663011,48472,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 7 IM. KS. JANA TWARDOWSKIEGO W LUBLINIE,Lublin,ul. Plażowa 9,75,73,16,76,73,75,64,24,64,92,76,82,22,92,100,,,,,,1,,,,,,,,,,,,,,,,,,,
3,Lubelskie,Lublin,Lublin,Gmina miejska,0663011,48473,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 10 IM. HENRYKA SIENKIEWICZA W LUBLINIE,Lublin,ul. Kalinowszczyzna 70,60,65,15,67,71,60,48,25,48,16,60,76,25,87,100,,,,,,,,,,,,,,,,,,,,,,,,,
3,Lubelskie,Lublin,Lublin,Gmina miejska,0663011,48731,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 24 IM. PARTYZANTÓW LUBELSZCZYZNY,Lublin,ul. Niecała 1,29,55,16,58,58,29,38,17,36,36,32,44,26,35,22,,,,,,,,,,,,,,,,,,,,,,,,,
