,,,,,,,,,,,,Język polski,,,,,Matematyka,,,,,Język angielski,,,,,Język francuski,,,,,Język hiszpański,,,,,Język niemiecki,,,,,Język rosyjski,,,,,Język włoski,,,,
ID OKE,województwo - nazwa,powiat - nazwa,Gmina - nazwa,Typ gminy,Kod teryt gminy,RSPO,"rodzaj placówki
",czy publiczna,Nazwa szkoły,Miejscowość,Ulica nr,"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%)
7,Mazowieckie,Płock,Płock,Gmina miejska,1462011,34838,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 17 IM. TADEUSZA KOŚCIUSZKI W PŁOCKU,Płock,ul. Miodowa 18,54,54,20,55,51,54,26,16,20,20,54,48,26,41,20,,,,,,,,,,,,,,,,,,,,,,,,,
7,Mazowieckie,Płock,Płock,Gmina miejska,1462011,35031,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 16 IM. MIKOŁAJA KOPERNIKA W PŁOCKU,Płock,ul. Piasta Kołodzieja 7,83,66,17,71,76,83,49,25,44,32,83,74,28,89,98,,,,,,,,,,,,,,,,,,,,,,,,,
7,Mazowieckie,Płock,Płock,Gmina miejska,1462011,38737,dla młodzieży,Tak,SZKOŁA PODSTAWOWA Z ODDZIAŁAMI INTEGRACYJNYMI NR 23 IM. ARMII KRAJOWEJ W PŁOCKU,Płock,ul. Walecznych 20,83,66,16,67,67,83,58,24,60,48,83,79,22,89,100,,,,,,,,,,,,,,,,,,,,,,,,,
7,Mazowieckie,Płock,Płock,Gmina miejska,1462011,38778,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 20 IM. WŁADYSŁAWA BRONIEWSKIEGO W PŁOCKU,Płock,ul. Janusza Korczaka 10,69,69,15,71,78,69,55,27,60,24,69,71,26,80,100,,,,,,,,,,,,,,,,,,,,,,,,,
7,Mazowieckie,Płock,Płock,Gmina miejska,1462011,38779,dla młodzieży,Tak,SZKOŁA PODSTAWOWA Z ODDZIAŁAMI DWUJĘZYCZNYMI NR 3 IM. KORNELA MAKUSZYŃSKIEGO W PŁOCKU,Płock,ul. Szymona Kossobudzkiego 7,101,65,16,67,71,101,48,25,44,20,101,75,24,82,100,,,,,,,,,,,,,,,,,,,,,,,,,
7,Mazowieckie,Płock,Płock,Gmina miejska,1462011,53368,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 18 IM. JANA ZYGMUNTA JAKUBOWSKIEGO W PŁOCKU,Płock,ul. Jasna 8,81,65,18,67,60,81,42,24,40,44,82,64,29,75,98,,,,,,,,,,,,,,,,,,,,,,,,,
7,Mazowieckie,Płock,Płock,Gmina miejska,1462011,55352,dla młodzieży,Nie,"II PRYWATNA SZKOŁA PODSTAWOWA ZESPOŁU OŚWIATOWO-KONSULTACYJNEGO ""PROFESOR"" SP. Z O.O.",Płock,al. Jana Kilińskiego 12B,31,76,14,80,80,31,76,19,80,100,31,89,18,96,100,,,,,,,,,,,,,,,,,,,,,,,,,
7,Mazowieckie,Płock,Płock,Gmina miejska,1462011,78020,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 21 IM. FRYDERYKA CHOPINA W PŁOCKU,Płock,ul. Fryderyka Chopina 62,134,67,16,67,64,134,51,25,48,40,134,73,25,84,96,,,,,,,,,,,,,,,,,,,,,,,,,
7,Mazowieckie,Płock,Płock,Gmina miejska,1462011,133692,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 14 IM. PROF. WŁADYSŁAWA SZAFERA W PŁOCKU,Płock,al. Al. Stanisława Jachowicza 20,87,54,20,56,69,87,47,26,44,20,87,64,30,67,95,,,,,,,,,,,,,,,,,,,,,,,,,
7,Mazowieckie,Płock,Płock,Gmina miejska,1462011,133697,dla młodzieży,Tak,SZKOŁA PODSTAWOWA Z ODDZIAŁAMI INTEGRACYJNYMI NR 8 IM. ALEKSANDRA MACIESZY W PŁOCKU,Płock,ul. gen. Tadeusza Kutrzeby 2a,116,60,19,64,62,116,50,24,48,32,115,76,26,89,96,,,,,,,,,,,,,,,,1,,,,,,,,,
7,Mazowieckie,Płock,Płock,Gmina miejska,1462011,263526,dla dorosłych,Nie,ATUT LIDER KSZTAŁCENIA SZKOŁA PODSTAWOWA DLA DOROSŁYCH W PŁOCKU,Płock,al. Jana Kilińskiego 4,10,36,17,28,24,11,19,4,20,16,11,41,18,36,27,,,,,,,,,,,,,,,,,,,,,,,,,
7,Mazowieckie,Płock,Płock,Gmina miejska,1462011,272263,nie dotyczy,Tak,OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA II STOPNIA W PŁOCKU,Płock,ul. Kolegialna 23,28,75,9,76,76,28,74,20,76,96,28,90,14,95,100,,,,,,,,,,,,,,,,,,,,,,,,,
7,Mazowieckie,Płock,Płock,Gmina miejska,1462011,275007,dla młodzieży,Tak,KATOLICKA SZKOŁA PODSTAWOWA IM. BŁ. ABPA ANTONIEGO JULIANA NOWOWIEJSKIEGO I BŁ. BPA LEONA WETMAŃSKIEGO W PŁOCKU,Płock,ul. abp. Antoniego Juliana Nowowiejskiego 2A,20,68,11,69,76,20,46,26,44,72,20,81,22,91,100,,,,,,,,,,,,,,,,,,,,,,,,,
7,Mazowieckie,Radom,Radom,Gmina miejska,1463011,38643,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA SPECJALNA,Radom,ul. Wośnicka 121,8,,,,,8,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Mazowieckie,Radom,Radom,Gmina miejska,1463011,40657,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA NR 1 Z ODDZIAŁAMI INTEGRACYJNYMI IM. IGNACEGO DASZYŃSKIEGO W RADOMIU,Radom,ul. Odrodzenia 37,82,66,21,71,56,82,56,26,56,72,82,77,26,91,98,,,,,,,,,,,,,,,,,,,,,,,,,
7,Mazowieckie,Radom,Radom,Gmina miejska,1463011,40938,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA NR 2 IM. HANSA CHRISTIANA ANDERSENA W RADOMIU,Radom,ul. Batalionów Chłopskich 16,64,63,20,64,62,64,46,25,44,24,61,64,31,75,96,,,,,,,,,,,4,,,,,,,,,,,,,,
7,Mazowieckie,Radom,Radom,Gmina miejska,1463011,40997,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA NR 3 IM. JANA DŁUGOSZA W RADOMIU,Radom,ul. Jana III Sobieskiego 12,116,62,17,62,69,116,47,25,40,28,116,69,28,81,98,,,,,,,,,,,1,,,,,,,,,,,,,,
7,Mazowieckie,Radom,Radom,Gmina miejska,1463011,41035,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA NR 4 Z ODDZIAŁAMI INTEGRACYJNYMI IM. ŚW. KAZIMIERZA JAGIELLOŃCZYKA W RADOMIU,Radom,ul. Wyścigowa 49,139,58,18,62,67,138,47,23,44,36,137,70,27,80,98,,,,,,,,,,,2,,,,,,,,,,,,,,
7,Mazowieckie,Radom,Radom,Gmina miejska,1463011,41137,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA NR 5 IM.MARII DĄBROWSKIEJ W RADOMIU,Radom,ul. gen. Józefa Sowińskiego 1,51,57,19,58,56,50,43,25,38,16,51,64,29,76,89,,,,,,,,,,,,,,,,,,,,,,,,,
