,,,,,,,,,,,,Język polski,,,,,Matematyka,,,,,Język angielski,,,,,Język francuski,,,,,Język hiszpański,,,,,Język niemiecki,,,,,Język rosyjski,,,,,Język włoski,,,,
ID OKE,województwo - nazwa,powiat - nazwa,Gmina - nazwa,Typ gminy,Kod teryt gminy,RSPO,"rodzaj placówki
",czy publiczna,Nazwa szkoły,Miejscowość,Ulica nr,"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%)
4,Warmińsko-Mazurskie,Elbląg,Elbląg,Gmina miejska,2861011,118954,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA STOWARZYSZENIA PRZYJACIÓŁ SZKÓŁ KATOLICKICH IM. ŚW. FRANCISZKA Z ASYŻU,Elbląg,ul. Saperów 14c,6,,,,,6,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,Elbląg,Elbląg,Gmina miejska,2861011,128867,dla młodzieży,Nie,SZKOŁA PODSTAWOWA MONTESSORI ELBLĄG,Elbląg,ul. Przy Bramie Targowej 10,2,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,Elbląg,Elbląg,Gmina miejska,2861011,196294,dla młodzieży,Nie,NIEPUBLICZNA SZKOŁA PODSTAWOWA REGENT Z ODDZIAŁAMI DWUJĘZYCZNYMI W ELBLĄGU,Elbląg,ul. Królewiecka 100,14,73,12,76,76,14,71,21,72,72,16,92,13,96,100,,,,,,,,,,,,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,Elbląg,Elbląg,Gmina miejska,2861011,262995,dla dorosłych,Tak,SZKOŁA PODSTAWOWA DLA DOROSŁYCH W ELBLĄGU,Elbląg,ul. Rawska 3,20,30,16,27,9,21,19,9,20,20,17,20,7,18,18,,,,,,,,,,,4,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,Elbląg,Elbląg,Gmina miejska,2861011,267690,dla młodzieży,Tak,SPORTOWA SZKOŁA PODSTAWOWA NR 3 IM. POLSKICH OLIMPIJCZYKÓW W ELBLĄGU,Elbląg,ul. Agrykola 6,26,64,13,64,62,26,49,25,50,48,25,74,22,78,55,,,,,,,,,,,1,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,Olsztyn,Olsztyn,Gmina miejska,2862011,40749,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 1 IM. RYSZARDA KNOSAŁY W OLSZTYNIE,Olsztyn,ul. Stanisława Moniuszki 10,37,49,17,51,56,37,28,14,28,16,39,45,27,40,13,,,,,,,,,,,,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,Olsztyn,Olsztyn,Gmina miejska,2862011,44507,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 2 IM. JAROSŁAWA DĄBROWSKIEGO W OLSZTYNIE,Olsztyn,ul. Tadeusza Kościuszki 70,185,63,17,64,64,185,52,26,52,20,183,75,27,87,100,,,,,,,,,,,2,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,Olsztyn,Olsztyn,Gmina miejska,2862011,44634,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 3 IM. KAWALERÓW ORDERU UŚMIECHU W OLSZTYNIE,Olsztyn,ul. Kołobrzeska 13m,102,63,16,66,62,102,55,26,52,24,104,75,27,87,100,,,,,,,,,,,1,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,Olsztyn,Olsztyn,Gmina miejska,2862011,47491,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 6 IM. KONSTANTEGO ILDEFONSA GAŁCZYŃSKIEGO W OLSZTYNIE,Olsztyn,ul. Gdyńska 17,76,59,17,58,58,76,51,26,52,56,77,76,26,87,100,,,,,,,,,,,1,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,Olsztyn,Olsztyn,Gmina miejska,2862011,47523,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 7 IM. LEONA KRUCZKOWSKIEGO W OLSZTYNIE,Olsztyn,ul. Aleja Przyjaciół 42,56,67,13,68,64,56,60,25,60,40,55,85,20,96,98,,,,,,,,,,,,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,Olsztyn,Olsztyn,Gmina miejska,2862011,48976,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 10 IM. WŁADYSŁAWA BRONIEWSKIEGO W OLSZTYNIE,Olsztyn,ul. Niepodległości 18,54,55,19,56,69,54,41,22,36,36,52,60,31,62,100,,,,,,,,,,,3,,,,,,,,,,,,,,
