RSPO,Kod teryt gminy,Typ gminy,"liczba
zdających","wynik
średni (%)","liczba
zdających.1","wynik
średni (%).1","liczba
zdających.2","wynik
średni (%).2"
23795,0404011,Gmina miejska,61.0,53.0,61.0,33.0,60.0,51.0
41213,0404011,Gmina miejska,22.0,43.0,22.0,31.0,22.0,42.0
41218,0404011,Gmina miejska,64.0,58.0,64.0,42.0,65.0,63.0
32013,0404022,Gmina wiejska,19.0,51.0,19.0,41.0,19.0,44.0
34606,0404022,Gmina wiejska,10.0,59.0,10.0,54.0,10.0,73.0
44521,0404022,Gmina wiejska,12.0,59.0,12.0,48.0,12.0,72.0
133745,0404022,Gmina wiejska,12.0,48.0,12.0,24.0,12.0,57.0
122560,0404032,Gmina wiejska,13.0,58.0,13.0,46.0,12.0,56.0
122564,0404032,Gmina wiejska,8.0,,8.0,,8.0,
122674,0404032,Gmina wiejska,23.0,63.0,23.0,41.0,23.0,54.0
59013,0404042,Gmina wiejska,22.0,44.0,22.0,33.0,22.0,39.0
80721,0404042,Gmina wiejska,31.0,51.0,32.0,45.0,32.0,54.0
81163,0404052,Gmina wiejska,6.0,,6.0,,6.0,
81164,0404052,Gmina wiejska,14.0,44.0,14.0,29.0,14.0,46.0
133479,0404052,Gmina wiejska,17.0,46.0,17.0,34.0,17.0,51.0
105963,0404062,Gmina wiejska,20.0,51.0,20.0,23.0,9.0,
110436,0404062,Gmina wiejska,5.0,,5.0,,5.0,
5734,0404072,Gmina wiejska,9.0,,9.0,,9.0,
5865,0404072,Gmina wiejska,7.0,,7.0,,7.0,
9924,0404072,Gmina wiejska,40.0,59.0,40.0,53.0,39.0,64.0
5086,0405022,Gmina wiejska,26.0,64.0,26.0,50.0,26.0,66.0
5104,0405022,Gmina wiejska,11.0,63.0,11.0,33.0,11.0,37.0
8633,0405011,Gmina miejska,31.0,47.0,31.0,32.0,31.0,46.0
10977,0405011,Gmina miejska,103.0,50.0,104.0,40.0,104.0,57.0
82413,0405032,Gmina wiejska,9.0,,9.0,,9.0,
82948,0405032,Gmina wiejska,8.0,,8.0,,8.0,
82951,0405032,Gmina wiejska,21.0,51.0,21.0,38.0,21.0,45.0
82954,0405032,Gmina wiejska,12.0,55.0,12.0,39.0,12.0,38.0
82955,0405032,Gmina wiejska,12.0,49.0,12.0,31.0,12.0,40.0
196369,0405032,Gmina wiejska,16.0,56.0,16.0,38.0,16.0,50.0
69370,0405044,Miasto,58.0,62.0,58.0,43.0,59.0,62.0
69376,0405045,Obszar wiejski,24.0,55.0,24.0,47.0,24.0,58.0
69389,0405045,Obszar wiejski,10.0,61.0,10.0,39.0,10.0,61.0
69395,0405045,Obszar wiejski,10.0,63.0,10.0,41.0,10.0,49.0
6705,0405052,Gmina wiejska,18.0,42.0,18.0,31.0,18.0,36.0
111395,0405052,Gmina wiejska,12.0,59.0,12.0,35.0,11.0,68.0
122291,0405052,Gmina wiejska,2.0,,2.0,,2.0,
40814,0405062,Gmina wiejska,12.0,53.0,12.0,39.0,12.0,39.0
53560,0405062,Gmina wiejska,13.0,57.0,13.0,57.0,13.0,65.0
53949,0405062,Gmina wiejska,12.0,36.0,12.0,27.0,12.0,38.0
83898,0406012,Gmina wiejska,9.0,,9.0,,9.0,
86556,0406012,Gmina wiejska,16.0,52.0,16.0,42.0,16.0,49.0
111024,0406012,Gmina wiejska,21.0,60.0,21.0,39.0,21.0,56.0
111035,0406012,Gmina wiejska,22.0,56.0,22.0,33.0,22.0,53.0
111149,0406012,Gmina wiejska,16.0,61.0,16.0,49.0,16.0,70.0
111150,0406012,Gmina wiejska,22.0,46.0,22.0,31.0,22.0,44.0
276213,0406012,Gmina wiejska,5.0,,5.0,,5.0,
53641,0406022,Gmina wiejska,4.0,,4.0,,4.0,
53642,0406022,Gmina wiejska,7.0,,7.0,,7.0,
53643,0406022,Gmina wiejska,7.0,,7.0,,7.0,
53644,0406022,Gmina wiejska,12.0,51.0,12.0,34.0,12.0,43.0
108726,0406022,Gmina wiejska,22.0,63.0,22.0,44.0,22.0,63.0
42865,0406044,Miasto,43.0,44.0,43.0,35.0,43.0,50.0
61329,0406052,Gmina wiejska,16.0,53.0,16.0,36.0,16.0,64.0
61335,0406052,Gmina wiejska,7.0,,7.0,,7.0,
61341,0406052,Gmina wiejska,11.0,43.0,11.0,35.0,11.0,38.0
41156,0406034,Miasto,46.0,47.0,46.0,30.0,41.0,41.0
28683,0406035,Obszar wiejski,8.0,,8.0,,1.0,
28685,0406035,Obszar wiejski,12.0,49.0,12.0,40.0,1.0,
104497,0406062,Gmina wiejska,20.0,57.0,20.0,39.0,1.0,
104498,0406062,Gmina wiejska,10.0,62.0,10.0,36.0,10.0,56.0
104499,0406062,Gmina wiejska,10.0,58.0,10.0,45.0,3.0,
109554,0406062,Gmina wiejska,9.0,,9.0,,9.0,
53419,0407022,Gmina wiejska,13.0,57.0,13.0,42.0,13.0,55.0
53421,0407022,Gmina wiejska,12.0,54.0,12.0,35.0,12.0,43.0
53422,0407022,Gmina wiejska,10.0,61.0,10.0,36.0,10.0,49.0
64955,0407022,Gmina wiejska,16.0,57.0,16.0,38.0,15.0,57.0
44280,0407034,Miasto,71.0,57.0,71.0,41.0,70.0,57.0
272040,0407034,Miasto,29.0,59.0,29.0,39.0,29.0,54.0
44275,0407035,Obszar wiejski,8.0,,8.0,,8.0,
44276,0407035,Obszar wiejski,9.0,,9.0,,9.0,
44278,0407035,Obszar wiejski,7.0,,7.0,,7.0,
44279,0407035,Obszar wiejski,18.0,61.0,18.0,42.0,17.0,51.0
274618,0407035,Obszar wiejski,8.0,,8.0,,8.0,
4202,0407011,Gmina miejska,66.0,50.0,66.0,34.0,66.0,59.0
4203,0407011,Gmina miejska,116.0,60.0,116.0,47.0,116.0,68.0
4206,0407011,Gmina miejska,62.0,55.0,62.0,38.0,61.0,60.0
4207,0407011,Gmina miejska,24.0,50.0,24.0,41.0,24.0,53.0
4208,0407011,Gmina miejska,15.0,60.0,15.0,47.0,15.0,69.0
4209,0407011,Gmina miejska,96.0,63.0,96.0,48.0,96.0,65.0
4210,0407011,Gmina miejska,37.0,63.0,37.0,49.0,37.0,71.0
6157,0407011,Gmina miejska,42.0,53.0,42.0,37.0,42.0,54.0
262594,0407011,Gmina miejska,12.0,70.0,12.0,48.0,12.0,74.0
262616,0407011,Gmina miejska,26.0,62.0,26.0,48.0,26.0,80.0
262629,0407011,Gmina miejska,27.0,69.0,27.0,62.0,27.0,84.0
262653,0407011,Gmina miejska,18.0,61.0,18.0,53.0,18.0,80.0
3561,0407042,Gmina wiejska,8.0,,8.0,,8.0,
3570,0407042,Gmina wiejska,10.0,65.0,10.0,37.0,10.0,46.0
3571,0407042,Gmina wiejska,13.0,58.0,13.0,49.0,13.0,65.0
3973,0407042,Gmina wiejska,9.0,,9.0,,9.0,
3986,0407042,Gmina wiejska,19.0,64.0,19.0,52.0,19.0,64.0
133573,0407042,Gmina wiejska,7.0,,7.0,,7.0,
13648,0407054,Miasto,92.0,61.0,92.0,43.0,92.0,61.0
3378,0407055,Obszar wiejski,11.0,45.0,11.0,33.0,11.0,36.0
4062,0407055,Obszar wiejski,10.0,43.0,10.0,39.0,10.0,37.0
4064,0407055,Obszar wiejski,13.0,56.0,13.0,37.0,13.0,51.0
55501,0407064,Miasto,13.0,60.0,13.0,17.0,13.0,29.0
58539,0407064,Miasto,71.0,67.0,71.0,49.0,70.0,68.0
58549,0407064,Miasto,39.0,49.0,39.0,34.0,39.0,49.0
54186,0407065,Obszar wiejski,11.0,61.0,11.0,44.0,11.0,62.0
58574,0407065,Obszar wiejski,21.0,62.0,21.0,38.0,21.0,56.0
58586,0407065,Obszar wiejski,9.0,,9.0,,9.0,
58599,0407065,Obszar wiejski,20.0,59.0,20.0,40.0,20.0,58.0
59718,0407065,Obszar wiejski,18.0,56.0,18.0,38.0,18.0,48.0
4218,0407074,Miasto,69.0,64.0,69.0,50.0,69.0,69.0
262538,0407074,Miasto,20.0,65.0,20.0,51.0,20.0,68.0
18169,0407075,Obszar wiejski,9.0,,9.0,,9.0,
109652,0407082,Gmina wiejska,36.0,68.0,36.0,52.0,36.0,69.0
109658,0407082,Gmina wiejska,18.0,60.0,18.0,38.0,17.0,49.0
55764,0407092,Gmina wiejska,67.0,57.0,67.0,44.0,67.0,62.0
55765,0407092,Gmina wiejska,5.0,,5.0,,5.0,
55772,0407092,Gmina wiejska,20.0,60.0,20.0,36.0,20.0,69.0
3680,0408022,Gmina wiejska,23.0,64.0,23.0,50.0,23.0,61.0
8624,0408032,Gmina wiejska,26.0,67.0,26.0,39.0,26.0,49.0
87621,0408044,Miasto,31.0,62.0,31.0,37.0,31.0,53.0
87622,0408045,Obszar wiejski,4.0,,4.0,,4.0,
87625,0408045,Obszar wiejski,25.0,63.0,25.0,37.0,25.0,45.0
87627,0408045,Obszar wiejski,15.0,72.0,15.0,51.0,15.0,72.0
25773,0408052,Gmina wiejska,12.0,56.0,12.0,39.0,12.0,53.0
43698,0408052,Gmina wiejska,25.0,60.0,25.0,44.0,25.0,59.0
43719,0408052,Gmina wiejska,10.0,50.0,10.0,28.0,10.0,35.0
47288,0408052,Gmina wiejska,4.0,,4.0,,4.0,
75463,0408011,Gmina miejska,42.0,39.0,42.0,23.0,40.0,38.0
75464,0408011,Gmina miejska,56.0,65.0,56.0,43.0,56.0,68.0
75465,0408011,Gmina miejska,46.0,55.0,46.0,39.0,45.0,54.0
12172,0408062,Gmina wiejska,25.0,57.0,25.0,33.0,25.0,35.0
60168,0408062,Gmina wiejska,9.0,,9.0,,9.0,
60890,0408062,Gmina wiejska,11.0,56.0,11.0,53.0,11.0,50.0
61363,0408062,Gmina wiejska,10.0,57.0,10.0,27.0,10.0,26.0
70930,0408062,Gmina wiejska,35.0,52.0,35.0,31.0,33.0,40.0
81182,0408062,Gmina wiejska,14.0,53.0,14.0,35.0,14.0,56.0
74295,0408074,Miasto,77.0,56.0,77.0,39.0,77.0,51.0
68296,0408075,Obszar wiejski,9.0,,9.0,,9.0,
44706,0408082,Gmina wiejska,18.0,58.0,18.0,38.0,16.0,52.0
48709,0408082,Gmina wiejska,35.0,59.0,35.0,40.0,34.0,54.0
21269,0408092,Gmina wiejska,7.0,,7.0,,7.0,
21270,0408092,Gmina wiejska,9.0,,9.0,,8.0,
21782,0408092,Gmina wiejska,43.0,59.0,43.0,42.0,42.0,50.0
6041,0409012,Gmina wiejska,13.0,67.0,13.0,47.0,13.0,59.0
10179,0409012,Gmina wiejska,22.0,58.0,22.0,42.0,20.0,51.0
84426,0409022,Gmina wiejska,18.0,64.0,18.0,34.0,18.0,59.0
84631,0409022,Gmina wiejska,21.0,55.0,21.0,39.0,21.0,47.0
10769,0409034,Miasto,78.0,53.0,78.0,41.0,78.0,61.0
26194,0409034,Miasto,75.0,56.0,74.0,38.0,73.0,63.0
23426,0409035,Obszar wiejski,12.0,53.0,12.0,32.0,12.0,48.0
23427,0409035,Obszar wiejski,8.0,,8.0,,8.0,
23428,0409035,Obszar wiejski,7.0,,7.0,,7.0,
23429,0409035,Obszar wiejski,33.0,50.0,33.0,37.0,33.0,49.0
24043,0409035,Obszar wiejski,14.0,61.0,14.0,35.0,14.0,56.0
24111,0409035,Obszar wiejski,8.0,,8.0,,8.0,
21608,0409044,Miasto,64.0,54.0,64.0,34.0,63.0,58.0
263026,0409044,Miasto,8.0,,8.0,,8.0,
266073,0409044,Miasto,11.0,33.0,11.0,21.0,9.0,
21604,0409045,Obszar wiejski,2.0,,2.0,,2.0,
21607,0409045,Obszar wiejski,20.0,56.0,20.0,38.0,20.0,47.0
68514,0410014,Miasto,54.0,57.0,54.0,35.0,54.0,58.0
125643,0410014,Miasto,2.0,,2.0,,2.0,
69258,0410015,Obszar wiejski,6.0,,6.0,,6.0,
69425,0410015,Obszar wiejski,12.0,56.0,12.0,36.0,12.0,46.0
69880,0410015,Obszar wiejski,16.0,45.0,16.0,27.0,16.0,43.0
70052,0410015,Obszar wiejski,15.0,64.0,15.0,20.0,15.0,42.0
70054,0410015,Obszar wiejski,4.0,,4.0,,4.0,
81004,0410015,Obszar wiejski,17.0,57.0,17.0,30.0,16.0,53.0
122463,0410015,Obszar wiejski,16.0,51.0,16.0,37.0,16.0,43.0
29534,0410024,Miasto,53.0,48.0,53.0,35.0,47.0,54.0
29261,0410025,Obszar wiejski,19.0,55.0,19.0,25.0,19.0,42.0
40994,0410034,Miasto,71.0,53.0,71.0,38.0,71.0,59.0
43381,0410034,Miasto,47.0,51.0,47.0,48.0,46.0,55.0
82663,0410034,Miasto,90.0,55.0,90.0,40.0,90.0,64.0
49536,0410035,Obszar wiejski,12.0,64.0,12.0,46.0,4.0,
58267,0410035,Obszar wiejski,37.0,60.0,37.0,45.0,37.0,68.0
58357,0410035,Obszar wiejski,14.0,53.0,14.0,43.0,14.0,49.0
63391,0410035,Obszar wiejski,22.0,60.0,22.0,47.0,21.0,62.0
55728,0410042,Gmina wiejska,56.0,54.0,56.0,39.0,56.0,61.0
263612,0410042,Gmina wiejska,15.0,51.0,15.0,23.0,14.0,31.0
41417,0410054,Miasto,67.0,47.0,67.0,40.0,67.0,51.0
68199,0410054,Miasto,64.0,60.0,64.0,43.0,64.0,67.0
125690,0410054,Miasto,2.0,,2.0,,2.0,
41048,0410055,Obszar wiejski,12.0,61.0,12.0,33.0,12.0,62.0
41050,0410055,Obszar wiejski,15.0,42.0,15.0,31.0,15.0,42.0
48766,0410055,Obszar wiejski,19.0,64.0,19.0,52.0,19.0,73.0
60448,0410055,Obszar wiejski,40.0,59.0,40.0,42.0,39.0,68.0
60748,0410055,Obszar wiejski,21.0,53.0,21.0,43.0,21.0,56.0
74680,0411022,Gmina wiejska,27.0,61.0,27.0,32.0,23.0,45.0
73000,0411032,Gmina wiejska,6.0,,6.0,,6.0,
73001,0411032,Gmina wiejska,11.0,58.0,11.0,41.0,11.0,48.0
73003,0411032,Gmina wiejska,18.0,64.0,18.0,51.0,18.0,58.0
5527,0411042,Gmina wiejska,51.0,59.0,51.0,44.0,51.0,58.0
5528,0411042,Gmina wiejska,12.0,56.0,12.0,47.0,11.0,56.0
21587,0411054,Miasto,75.0,51.0,75.0,37.0,74.0,55.0
11279,0411055,Obszar wiejski,11.0,47.0,11.0,40.0,11.0,51.0
11307,0411055,Obszar wiejski,9.0,,9.0,,9.0,
114321,0411011,Gmina miejska,64.0,59.0,64.0,43.0,64.0,62.0
104312,0411062,Gmina wiejska,9.0,,9.0,,9.0,
104374,0411062,Gmina wiejska,8.0,,8.0,,8.0,
106014,0411072,Gmina wiejska,8.0,,8.0,,3.0,
106077,0411072,Gmina wiejska,22.0,56.0,22.0,43.0,20.0,51.0
69822,0412022,Gmina wiejska,14.0,57.0,14.0,32.0,14.0,57.0
122400,0412022,Gmina wiejska,8.0,,7.0,,7.0,
122406,0412022,Gmina wiejska,16.0,50.0,16.0,47.0,16.0,55.0
58542,0412032,Gmina wiejska,18.0,43.0,18.0,31.0,18.0,37.0
88222,0412032,Gmina wiejska,12.0,55.0,12.0,47.0,11.0,60.0
88226,0412032,Gmina wiejska,4.0,,4.0,,4.0,
88227,0412032,Gmina wiejska,13.0,57.0,13.0,44.0,13.0,33.0
3246,0412011,Gmina miejska,77.0,51.0,77.0,38.0,76.0,58.0
3436,0412011,Gmina miejska,94.0,52.0,94.0,41.0,93.0,59.0
6344,0412042,Gmina wiejska,22.0,60.0,22.0,49.0,22.0,60.0
6533,0412042,Gmina wiejska,7.0,,7.0,,7.0,
6563,0412042,Gmina wiejska,12.0,54.0,12.0,45.0,9.0,
6584,0412042,Gmina wiejska,7.0,,7.0,,7.0,
83188,0412042,Gmina wiejska,13.0,48.0,13.0,31.0,13.0,64.0
262971,0412042,Gmina wiejska,7.0,,7.0,,7.0,
6474,0412052,Gmina wiejska,12.0,55.0,12.0,33.0,6.0,
8157,0412052,Gmina wiejska,21.0,71.0,21.0,36.0,8.0,
8216,0412052,Gmina wiejska,35.0,52.0,35.0,44.0,29.0,50.0
42517,0412062,Gmina wiejska,13.0,56.0,13.0,50.0,13.0,50.0
42518,0412062,Gmina wiejska,7.0,,7.0,,7.0,
42520,0412062,Gmina wiejska,7.0,,7.0,,7.0,
42521,0412062,Gmina wiejska,15.0,58.0,15.0,37.0,15.0,53.0
106425,0413014,Miasto,39.0,57.0,39.0,39.0,36.0,71.0
56618,0413015,Obszar wiejski,21.0,53.0,21.0,37.0,20.0,43.0
56620,0413015,Obszar wiejski,13.0,49.0,13.0,39.0,13.0,46.0
103680,0413032,Gmina wiejska,12.0,63.0,12.0,36.0,13.0,65.0
106165,0413032,Gmina wiejska,22.0,47.0,22.0,39.0,22.0,45.0
106463,0413032,Gmina wiejska,18.0,49.0,18.0,25.0,17.0,53.0
73205,0413024,Miasto,38.0,57.0,39.0,43.0,39.0,62.0
73297,0413024,Miasto,53.0,62.0,53.0,30.0,52.0,54.0
29684,0413025,Obszar wiejski,19.0,59.0,19.0,43.0,19.0,59.0
30123,0413025,Obszar wiejski,7.0,,7.0,,7.0,
30191,0413025,Obszar wiejski,15.0,49.0,15.0,45.0,15.0,51.0
68625,0413025,Obszar wiejski,18.0,50.0,18.0,37.0,18.0,47.0
69564,0413025,Obszar wiejski,12.0,52.0,12.0,31.0,12.0,38.0
28740,0413044,Miasto,52.0,51.0,52.0,34.0,51.0,58.0
262270,0413044,Miasto,30.0,56.0,30.0,41.0,30.0,65.0
28735,0413045,Obszar wiejski,30.0,55.0,30.0,33.0,29.0,60.0
28737,0413045,Obszar wiejski,9.0,,9.0,,9.0,
28741,0413045,Obszar wiejski,7.0,,7.0,,7.0,
29233,0413045,Obszar wiejski,15.0,55.0,15.0,39.0,15.0,45.0
31755,0413045,Obszar wiejski,8.0,,8.0,,8.0,
85008,0415011,Gmina miejska,26.0,52.0,26.0,39.0,24.0,59.0
85009,0415011,Gmina miejska,41.0,56.0,41.0,39.0,41.0,64.0
85011,0415011,Gmina miejska,38.0,59.0,38.0,49.0,38.0,69.0
79389,0415022,Gmina wiejska,31.0,56.0,31.0,41.0,31.0,50.0
79714,0415022,Gmina wiejska,34.0,62.0,34.0,39.0,34.0,59.0
86676,0415022,Gmina wiejska,11.0,52.0,11.0,33.0,11.0,68.0
90180,0415022,Gmina wiejska,13.0,68.0,13.0,53.0,13.0,63.0
84050,0415032,Gmina wiejska,52.0,56.0,52.0,45.0,51.0,58.0
84051,0415032,Gmina wiejska,19.0,63.0,19.0,40.0,19.0,45.0
84052,0415032,Gmina wiejska,9.0,,9.0,,9.0,
84053,0415032,Gmina wiejska,9.0,,9.0,,9.0,
84054,0415032,Gmina wiejska,9.0,,9.0,,9.0,
52961,0415042,Gmina wiejska,45.0,61.0,45.0,58.0,45.0,74.0
52962,0415042,Gmina wiejska,30.0,60.0,30.0,45.0,29.0,73.0
52978,0415042,Gmina wiejska,6.0,,6.0,,6.0,
52996,0415042,Gmina wiejska,7.0,,7.0,,7.0,
55655,0415042,Gmina wiejska,74.0,67.0,74.0,45.0,74.0,63.0
75080,0415042,Gmina wiejska,43.0,59.0,43.0,44.0,43.0,68.0
58316,0415072,Gmina wiejska,22.0,56.0,22.0,45.0,22.0,62.0
58320,0415072,Gmina wiejska,46.0,54.0,46.0,48.0,45.0,65.0
83881,0415072,Gmina wiejska,31.0,59.0,31.0,47.0,31.0,65.0
83885,0415072,Gmina wiejska,42.0,59.0,42.0,48.0,42.0,70.0
83889,0415072,Gmina wiejska,35.0,58.0,35.0,38.0,35.0,47.0
17692,0415082,Gmina wiejska,32.0,71.0,32.0,54.0,32.0,81.0
17693,0415082,Gmina wiejska,30.0,55.0,30.0,39.0,30.0,65.0
56269,0415092,Gmina wiejska,6.0,,6.0,,6.0,
60899,0415092,Gmina wiejska,34.0,57.0,34.0,53.0,30.0,75.0
92132,0415092,Gmina wiejska,29.0,43.0,29.0,40.0,29.0,50.0
93195,0415092,Gmina wiejska,14.0,47.0,14.0,45.0,14.0,61.0
103460,0415092,Gmina wiejska,56.0,55.0,56.0,42.0,55.0,58.0
42137,0415052,Gmina wiejska,17.0,54.0,17.0,40.0,17.0,59.0
75318,0415052,Gmina wiejska,13.0,50.0,13.0,30.0,13.0,47.0
75319,0415052,Gmina wiejska,25.0,57.0,25.0,48.0,25.0,55.0
75466,0415052,Gmina wiejska,20.0,55.0,20.0,48.0,20.0,58.0
83923,0415062,Gmina wiejska,9.0,,9.0,,9.0,
83924,0415062,Gmina wiejska,17.0,55.0,17.0,38.0,17.0,61.0
106637,0415062,Gmina wiejska,34.0,67.0,34.0,56.0,34.0,69.0
107120,0415062,Gmina wiejska,37.0,64.0,37.0,52.0,37.0,60.0
61019,0416012,Gmina wiejska,17.0,43.0,17.0,38.0,17.0,46.0
61806,0416012,Gmina wiejska,60.0,61.0,60.0,48.0,58.0,53.0
11022,0416022,Gmina wiejska,9.0,,9.0,,9.0,
12625,0416022,Gmina wiejska,36.0,57.0,36.0,45.0,36.0,52.0
107411,0416032,Gmina wiejska,19.0,53.0,19.0,27.0,19.0,39.0
109502,0416032,Gmina wiejska,10.0,61.0,10.0,34.0,10.0,69.0
60119,0416042,Gmina wiejska,35.0,47.0,35.0,34.0,33.0,41.0
70806,0416042,Gmina wiejska,39.0,52.0,39.0,41.0,37.0,60.0
60487,0416064,Miasto,50.0,48.0,50.0,37.0,50.0,54.0
60493,0416064,Miasto,59.0,54.0,59.0,37.0,58.0,50.0
60501,0416064,Miasto,20.0,65.0,20.0,55.0,20.0,82.0
60490,0416065,Obszar wiejski,11.0,72.0,11.0,51.0,11.0,57.0
60491,0416065,Obszar wiejski,17.0,39.0,17.0,32.0,16.0,28.0
60494,0416065,Obszar wiejski,13.0,59.0,13.0,38.0,13.0,42.0
3370,0416052,Gmina wiejska,11.0,74.0,11.0,46.0,11.0,61.0
3371,0416052,Gmina wiejska,9.0,,9.0,,9.0,
3372,0416052,Gmina wiejska,33.0,45.0,32.0,34.0,33.0,41.0
106680,0417022,Gmina wiejska,12.0,65.0,12.0,29.0,12.0,41.0
107583,0417022,Gmina wiejska,11.0,52.0,11.0,47.0,11.0,48.0
110229,0417022,Gmina wiejska,10.0,47.0,10.0,26.0,10.0,38.0
126839,0417032,Gmina wiejska,34.0,53.0,34.0,37.0,16.0,56.0
85160,0417042,Gmina wiejska,44.0,42.0,44.0,24.0,43.0,45.0
48634,0417052,Gmina wiejska,16.0,49.0,16.0,37.0,16.0,39.0
48638,0417052,Gmina wiejska,34.0,51.0,34.0,32.0,34.0,56.0
84127,0417052,Gmina wiejska,21.0,52.0,21.0,28.0,21.0,36.0
84129,0417052,Gmina wiejska,22.0,55.0,22.0,39.0,22.0,54.0
21535,0417011,Gmina miejska,87.0,52.0,87.0,35.0,87.0,53.0
27294,0417011,Gmina miejska,56.0,50.0,56.0,31.0,56.0,53.0
109733,0418022,Gmina wiejska,32.0,70.0,32.0,43.0,32.0,57.0
9415,0418032,Gmina wiejska,26.0,60.0,26.0,46.0,26.0,48.0
53038,0418044,Miasto,64.0,56.0,64.0,43.0,64.0,60.0
75776,0418044,Miasto,12.0,67.0,12.0,45.0,12.0,69.0
53035,0418045,Obszar wiejski,9.0,,9.0,,9.0,
53036,0418045,Obszar wiejski,13.0,68.0,13.0,62.0,13.0,75.0
55648,0418052,Gmina wiejska,9.0,,9.0,,9.0,
55649,0418052,Gmina wiejska,29.0,51.0,29.0,31.0,29.0,37.0
55651,0418052,Gmina wiejska,20.0,53.0,20.0,35.0,20.0,50.0
84802,0418064,Miasto,46.0,70.0,46.0,48.0,46.0,60.0
103537,0418072,Gmina wiejska,20.0,59.0,20.0,58.0,20.0,57.0
103908,0418072,Gmina wiejska,27.0,57.0,27.0,35.0,27.0,63.0
103911,0418072,Gmina wiejska,10.0,67.0,10.0,48.0,10.0,68.0
104656,0418072,Gmina wiejska,16.0,59.0,16.0,45.0,16.0,54.0
91933,0418084,Miasto,20.0,59.0,20.0,54.0,18.0,81.0
263187,0418084,Miasto,30.0,52.0,30.0,41.0,30.0,54.0
81521,0418085,Obszar wiejski,12.0,57.0,12.0,33.0,11.0,36.0
108713,0418011,Gmina miejska,34.0,64.0,34.0,48.0,34.0,68.0
109514,0418092,Gmina wiejska,8.0,,8.0,,8.0,
267302,0418092,Gmina wiejska,7.0,,7.0,,7.0,
4174,0418102,Gmina wiejska,7.0,,6.0,,6.0,
38969,0418102,Gmina wiejska,20.0,66.0,20.0,38.0,20.0,56.0
70974,0418114,Miasto,36.0,54.0,36.0,34.0,36.0,49.0
34378,0418115,Obszar wiejski,6.0,,6.0,,6.0,
34379,0418115,Obszar wiejski,4.0,,4.0,,4.0,
106080,0418115,Obszar wiejski,11.0,58.0,11.0,52.0,11.0,61.0
104437,0418124,Miasto,50.0,56.0,50.0,43.0,47.0,48.0
74250,0418125,Obszar wiejski,5.0,,5.0,,5.0,
74251,0418125,Obszar wiejski,5.0,,5.0,,5.0,
107493,0418125,Obszar wiejski,7.0,,7.0,,7.0,
35158,0418132,Gmina wiejska,15.0,64.0,15.0,46.0,15.0,57.0
35216,0418132,Gmina wiejska,24.0,56.0,24.0,34.0,23.0,61.0
15742,0414012,Gmina wiejska,21.0,49.0,21.0,36.0,21.0,27.0
15743,0414012,Gmina wiejska,13.0,60.0,13.0,50.0,13.0,70.0
15744,0414012,Gmina wiejska,24.0,59.0,24.0,38.0,24.0,49.0
11963,0414022,Gmina wiejska,51.0,54.0,51.0,42.0,54.0,54.0
12264,0414022,Gmina wiejska,22.0,53.0,22.0,43.0,22.0,53.0
11329,0414032,Gmina wiejska,34.0,51.0,34.0,36.0,33.0,49.0
262974,0414032,Gmina wiejska,14.0,66.0,14.0,64.0,14.0,88.0
72754,0414042,Gmina wiejska,35.0,56.0,35.0,51.0,35.0,68.0
72761,0414042,Gmina wiejska,7.0,,7.0,,7.0,
81582,0414042,Gmina wiejska,34.0,46.0,34.0,35.0,34.0,46.0
53803,0414052,Gmina wiejska,40.0,63.0,40.0,50.0,40.0,54.0
39683,0414064,Miasto,98.0,51.0,98.0,39.0,96.0,54.0
7666,0414065,Obszar wiejski,10.0,44.0,10.0,38.0,10.0,61.0
8329,0414065,Obszar wiejski,6.0,,6.0,,5.0,
67770,0414072,Gmina wiejska,60.0,53.0,60.0,41.0,60.0,60.0
30411,0414082,Gmina wiejska,11.0,44.0,11.0,41.0,11.0,52.0
30412,0414082,Gmina wiejska,12.0,48.0,12.0,41.0,12.0,61.0
30413,0414082,Gmina wiejska,20.0,61.0,20.0,52.0,20.0,68.0
54355,0414082,Gmina wiejska,38.0,45.0,38.0,34.0,38.0,52.0
7364,0414112,Gmina wiejska,9.0,,9.0,,9.0,
10542,0414112,Gmina wiejska,14.0,54.0,14.0,29.0,14.0,48.0
58987,0414112,Gmina wiejska,2.0,,2.0,,2.0,
107469,0414112,Gmina wiejska,30.0,61.0,30.0,43.0,29.0,60.0
11757,0414094,Miasto,100.0,60.0,100.0,46.0,99.0,71.0
11913,0414094,Miasto,23.0,46.0,23.0,31.0,23.0,52.0
12265,0414094,Miasto,57.0,53.0,57.0,46.0,57.0,69.0
13295,0414094,Miasto,23.0,50.0,23.0,39.0,23.0,52.0
125680,0414094,Miasto,1.0,,1.0,,1.0,
262592,0414094,Miasto,18.0,46.0,18.0,26.0,18.0,34.0
262596,0414094,Miasto,28.0,52.0,28.0,50.0,24.0,72.0
6848,0414095,Obszar wiejski,24.0,62.0,24.0,35.0,24.0,53.0
11622,0414095,Obszar wiejski,17.0,52.0,17.0,36.0,16.0,59.0
11868,0414095,Obszar wiejski,6.0,,6.0,,6.0,
12114,0414095,Obszar wiejski,9.0,,9.0,,9.0,
86167,0414102,Gmina wiejska,29.0,70.0,29.0,48.0,29.0,63.0
25047,0419014,Miasto,22.0,53.0,22.0,41.0,22.0,49.0
