,,,,,,,,,,,,Język polski,,,,,Matematyka,,,,,Język angielski,,,,,Język francuski,,,,,Język hiszpański,,,,,Język niemiecki,,,,,Język rosyjski,,,,,Język włoski,,,,
ID OKE,województwo - nazwa,powiat - nazwa,Gmina - nazwa,Typ gminy,Kod teryt gminy,RSPO,"rodzaj placówki
",czy publiczna,Nazwa szkoły,Miejscowość,Ulica nr,"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%)
2,Śląskie,Bielsko-Biała,Bielsko-Biała,Gmina miejska,2461011,23711,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 32 IM. JANA III SOBIESKIEGO W BIELSKU-BIAŁEJ,Bielsko-Biała,ul. Cieszyńska 393,95,60,17,62,76,95,40,22,36,20,98,69,27,75,98,,,,,,,,,,,,,,,,,,,,,,,,,
2,Śląskie,Bielsko-Biała,Bielsko-Biała,Gmina miejska,2461011,23712,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 33 IM. KORNELA MAKUSZYŃSKIEGO W BIELSKU-BIAŁEJ,Bielsko-Biała,ul. Łagodna 26,80,61,15,64,58,80,47,25,44,20,81,74,25,82,98,,,,,,,,,,,1,,,,,,,,,,1,,,,
2,Śląskie,Bielsko-Biała,Bielsko-Biała,Gmina miejska,2461011,23713,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 37 IM. GEN. MARIUSZA ZARUSKIEGO W BIELSKU-BIAŁEJ,Bielsko-Biała,ul. Doliny Miętusiej 5,82,64,13,66,58,82,54,24,52,76,86,75,27,88,98,,,,,,,,,,,,,,,,,,,,,,,,,
2,Śląskie,Bielsko-Biała,Bielsko-Biała,Gmina miejska,2461011,34541,dla młodzieży,Tak,SZKOŁA PODSTAWOWA SPECJALNA NR 11 IM. JANUSZA KORCZAKA PRZY PLACÓWKACH OPIEKUŃCZO-WYCHOWAWCZYCH W BIELSKU-BIAŁEJ,Bielsko-Biała,ul. Józefa Lompy 7,9,,,,,9,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Śląskie,Bielsko-Biała,Bielsko-Biała,Gmina miejska,2461011,70674,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 38 W ZESPOLE SZKÓŁ SAMOCHODOWYCH I OGÓLNOKSZTAŁCĄCYCH W BIELSKU-BIAŁEJ,Bielsko-Biała,ul. Filarowa 52,7,,,,,7,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Śląskie,Bielsko-Biała,Bielsko-Biała,Gmina miejska,2461011,70910,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 36 Z ODDZIAŁAMI INTEGRACYJNYMI W ZESPOLE SZKÓŁ OGÓLNOKSZTAŁCĄCYCH IM. ARMII KRAJOWEJ W BIELSKU-BIAŁEJ,Bielsko-Biała,ul. Sternicza 4,49,65,16,67,67,49,48,22,44,44,53,70,26,80,20,,,,,,,,,,,,,,,,,,,,,,,,,
2,Śląskie,Bielsko-Biała,Bielsko-Biała,Gmina miejska,2461011,74635,dla młodzieży,Tak,ZESPÓŁ SZKÓŁ OGÓLNOKSZTAŁCĄCYCH IM. STEFANA ŻEROMSKIEGO - SZKOŁA PODSTAWOWA NR 22,Bielsko-Biała,ul. gen. Stefana Grota-Roweckiego 5,28,63,16,69,73,28,63,25,64,88,28,81,24,93,100,,,,,,,,,,,,,,,,,,,,,,,,,
2,Śląskie,Bielsko-Biała,Bielsko-Biała,Gmina miejska,2461011,75679,dla młodzieży,Nie,DWUJĘZYCZNA SZKOŁA PODSTAWOWA IM. W.KOPALIŃSKIEGO W BIELSKU-BIAŁEJ,Bielsko-Biała,ul. Nadbrzeżna 12,31,80,10,80,76,31,76,17,80,88,31,97,4,98,100,,,,,,,,,,,,,,,,,,,,,,,,,
2,Śląskie,Bielsko-Biała,Bielsko-Biała,Gmina miejska,2461011,75682,dla młodzieży,Nie,"PRYWATNA SZKOŁA PODSTAWOWA ""SMYK"" W BIELSKU-BIAŁEJ",Bielsko-Biała,ul. Powstańców Śląskich 3,8,,,,,8,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Śląskie,Bielsko-Biała,Bielsko-Biała,Gmina miejska,2461011,75683,dla młodzieży,Nie,NOWA PRYWATNA SZKOŁA PODSTAWOWA,Bielsko-Biała,ul. Komorowicka 25,15,60,12,62,62,15,37,22,32,12,15,67,27,82,82,,,,,,,,,,,,,,,,,,,,,,,,,
