,,,,,,,,,,,,Język polski,,,,,Matematyka,,,,,Język angielski,,,,,Język francuski,,,,,Język hiszpański,,,,,Język niemiecki,,,,,Język rosyjski,,,,
ID OKE,województwo - nazwa,powiat - nazwa,Gmina - nazwa,Typ gminy,Kod teryt gminy,RSPO,"rodzaj placówki
",czy publiczna,Nazwa szkoły,Miejscowość,Ulica nr,"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%)
6,Lubuskie,Gorzów Wielkopolski,Gorzów Wielkopolski,Gmina miejska,0861011,109803,dla młodzieży,Nie,SZKOŁA PODSTAWOWA KATOLICKIEGO STOWARZYSZENIA WYCHOWAWCÓW,Gorzów Wielkopolski,ul. Jana Stanisławskiego 3,19,75,9,76,73,19,66,17,68,80,19,95,4,96,96,,,,,,,,,,,,,,,,,,,,
6,Lubuskie,Gorzów Wielkopolski,Gorzów Wielkopolski,Gmina miejska,0861011,110477,dla młodzieży,Nie,PRYWATNA SZKOŁA PODSTAWOWA O PROFILU ARTYSTYCZNYM,Gorzów Wielkopolski,ul. Bohaterów Westerplatte 10,24,59,15,62,67,24,53,22,50,68,22,84,22,97,100,,,,,,,,,,,2,,,,,,,,,
6,Lubuskie,Gorzów Wielkopolski,Gorzów Wielkopolski,Gmina miejska,0861011,114114,dla młodzieży,Nie,KATOLICKA SZKOŁA PODSTAWOWA IM. ŚW. JANA PAWŁA II,Gorzów Wielkopolski,ul. Waldemara Kućki 1,20,54,17,52,38,20,48,26,42,60,20,85,18,93,96,,,,,,,,,,,,,,,,,,,,
6,Lubuskie,Gorzów Wielkopolski,Gorzów Wielkopolski,Gmina miejska,0861011,114126,dla młodzieży,Nie,SPOŁECZNA SZKOŁA PODSTAWOWA STOWARZYSZENIA EDUKACYJNEGO,Gorzów Wielkopolski,ul. Kazimierza Wielkiego 65,48,74,14,77,80,48,81,18,86,84,48,98,4,98,100,,,,,,,,,,,,,,,,,,,,
6,Lubuskie,Gorzów Wielkopolski,Gorzów Wielkopolski,Gmina miejska,0861011,264271,dla dorosłych,Nie,EDUATUT SZKOŁA PODSTAWOWA DLA DOROSŁYCH W GORZOWIE WIELKOPOLSKIM,Gorzów Wielkopolski,ul. Fryderyka Chopina 52,3,,,,,3,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
6,Lubuskie,Zielona Góra,Zielona Góra,Gmina miejska,0862011,14060,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 1 IM.HENRYKA SIENKIEWICZA W ZIELONEJ GÓRZE,Zielona Góra,ul. Stefana Wyszyńskiego 17,103,61,18,62,67,103,51,25,48,48,90,68,28,76,100,,,,,,,,,,,13,50,17,49,36,,,,,
6,Lubuskie,Zielona Góra,Zielona Góra,Gmina miejska,0862011,14063,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 6 IM. RYSZARDA PERYTA W ZIELONEJ GÓRZE,Zielona Góra,ul. św. Kingi 1,35,45,17,42,29,35,28,16,24,16,35,51,27,44,20,,,,,,,,,,,,,,,,,,,,
6,Lubuskie,Zielona Góra,Zielona Góra,Gmina miejska,0862011,14070,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 14 IM. ADAMA MICKIEWICZA W ZIELONEJ GÓRZE,Zielona Góra,ul. Jaskółcza 66,88,62,18,64,71,88,46,26,44,56,74,73,24,79,98,,,,,,,,,,,16,65,26,73,85,,,,,
6,Lubuskie,Zielona Góra,Zielona Góra,Gmina miejska,0862011,14071,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 15 IM.4 DYWIZJI PIECHOTY WOJSKA POLSKIEGO W ZIELONEJ GÓRZE,Zielona Góra,ul. Lisia 37,59,54,19,53,62,58,43,28,34,16,64,54,31,47,100,,,,,,,,,,,,,,,,,,,,
6,Lubuskie,Zielona Góra,Zielona Góra,Gmina miejska,0862011,14072,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 18 IM. ARKADEGO FIEDLERA W ZIELONEJ GÓRZE,Zielona Góra,ul. Francuska 10,177,66,15,67,62,177,62,25,64,88,161,81,24,93,100,,,,,,,,,,,17,82,23,93,100,,,,,
