,,,,,,,,,,,Język polski,,,,,Matematyka,,,,,Język angielski,,,,,Język francuski,,,,,Język hiszpański,,,,,Język niemiecki,,,,,Język rosyjski,,,,,Język włoski,,,,
województwo - nazwa,powiat - nazwa,Gmina - nazwa,Typ gminy,Kod teryt gminy,RSPO,"rodzaj placówki
",czy publiczna,Nazwa szkoły,Miejscowość,Ulica nr,"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%)
Łódzkie,poddębicki,Wartkowice,Gmina wiejska,1011052,44060,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM. MARII KONOPNICKIEJ W KŁÓDNEJ,Jadwisin,3,8,,,,,8,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,poddębicki,Wartkowice,Gmina wiejska,1011052,55546,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM. MARSZAŁKA JÓZEFA PIŁSUDSKIEGO W WARTKOWICACH,Wartkowice,ul. Legionów Polskich 5,27,61,17,62,53,27,26,15,24,12,26,65,26,71,24,,,,,,,,,,,1,,,,,,,,,,,,,,
Łódzkie,poddębicki,Zadzim,Gmina wiejska,1011062,14960,dla młodzieży,Tak,SZKOŁA PODSTAWOWA W ZADZIMIU,Kazimierzew,38,23,61,18,58,58,23,44,27,36,20,21,51,28,42,35,,,,,,,,,,,2,,,,,,,,,,,,,,
Łódzkie,poddębicki,Zadzim,Gmina wiejska,1011062,15018,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM. JANA PAWŁA II W ZYGRACH,Zygry,71,21,49,18,53,60,21,35,18,40,40,18,41,26,30,20,,,,,,,,,,,3,,,,,,,,,,,,,,
Łódzkie,radomszczański,Dobryszyce,Gmina wiejska,1012022,34575,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA IM. JANA KOCHANOWSKIEGO W DOBRYSZYCACH,Dobryszyce,ul. Leśna 1,19,57,16,58,47,19,46,23,40,24,19,56,30,51,96,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,radomszczański,Dobryszyce,Gmina wiejska,1012022,34577,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM. HENRYKA SIENKIEWICZA W BLOKU DOBRYSZYCE,Blok Dobryszyce,ul. Kolejowa 24,11,38,19,33,18,11,35,21,28,24,11,39,25,25,22,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,radomszczański,Gidle,Gmina wiejska,1012032,89387,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA IM. J. PIŁSUDSKIEGO W GIDLACH,Gidle,ul. Szkolna 7,23,68,17,69,58,23,37,22,32,16,23,66,29,73,93,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,radomszczański,Gidle,Gmina wiejska,1012032,91951,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA W CIĘŻKOWICACH,Ciężkowice,36,10,57,14,57,51,10,38,19,36,32,9,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Łódzkie,radomszczański,Gidle,Gmina wiejska,1012032,91952,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA W PŁAWNIE,Pławno,ul. Przedborska 4,10,64,10,64,51,10,59,17,58,,10,76,12,76,73,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,radomszczański,Gomunice,Gmina wiejska,1012042,83446,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM. BOLESŁAWA PRUSA W CHRZANOWICACH,Chrzanowice,ul. Włodzimierza Łuckiego 16,10,59,19,71,73,10,36,19,34,28,10,46,30,32,,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,radomszczański,Gomunice,Gmina wiejska,1012042,88061,dla młodzieży,Tak,SZKOŁA PODSTAWOWA W GOMUNICACH,Gomunice,ul. Słowackiego 12,35,58,20,58,56,35,44,25,40,28,35,53,32,42,11,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,radomszczański,Kamieńsk,Miasto,1012054,70474,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA IM. JANA PAWŁA II W KAMIEŃSKU,Kamieńsk,ul. Sportowa 8,41,47,24,47,47,41,35,25,24,20,41,46,31,31,15,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,radomszczański,Kamieńsk,Obszar wiejski,1012055,70594,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA IM.JÓZEFA ADAMOWSKIEGO W GORZĘDOWIE,Gorzędów,ul. Józefa Adamowskiego 7,9,,,,,9,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,radomszczański,Kobiele Wielkie,Gmina wiejska,1012062,69163,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA IM. HENRYKA SIENKIEWICZA W ORZECHOWIE,Orzechów,2,17,52,19,56,56,17,45,27,44,12,17,56,31,42,20,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,radomszczański,Kobiele Wielkie,Gmina wiejska,1012062,69391,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA IM. WŁADYSŁAWA STANISŁAWA REYMONTA W KOBIELACH WIELKICH,Kobiele Wielkie,ul. Szkolna 4,33,60,16,62,60,33,44,24,40,44,33,62,28,67,91,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,radomszczański,Kodrąb,Gmina wiejska,1012072,26173,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA W RZEJOWICACH,Kolonia Rzejowice,91,9,,,,,9,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,radomszczański,Kodrąb,Gmina wiejska,1012072,70856,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA W KODRĘBIE,Kodrąb,ul. Leśna 2,36,64,14,67,64,36,40,22,34,16,36,57,23,56,56,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,radomszczański,Lgota Wielka,Gmina wiejska,1012082,60258,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA W WOLI BLAKOWEJ,Wola Blakowa,39,15,58,15,60,71,15,39,24,36,8,15,59,29,69,76,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,radomszczański,Lgota Wielka,Gmina wiejska,1012082,60943,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA IM. M. KONOPNICKIEJ W LGOCIE WIELKIEJ,Lgota Wielka,ul. Szkolna 3,21,62,12,62,51,21,49,22,44,40,21,65,25,71,45,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,radomszczański,Masłowice,Gmina wiejska,1012102,113578,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA IM. JANA PAWŁA II W STRZELCACH MAŁYCH,Strzelce Małe,33,48,50,17,53,51,48,42,24,40,24,48,55,25,56,25,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,radomszczański,Przedbórz,Miasto,1012114,73718,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA IM. KAZIMIERZA WIELKIEGO W PRZEDBORZU,Przedbórz,ul. Mostowa 35A,48,60,19,63,69,48,39,25,32,16,48,66,29,77,25,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,radomszczański,Przedbórz,Obszar wiejski,1012115,69791,dla młodzieży,Tak,SZKOŁA PODSTAWOWA W GÓRACH MOKRYCH,Góry Mokre,94a,8,,,,,8,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,radomszczański,Radomsko,Gmina miejska,1012011,65193,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA NR 3 IM. MIESZKA I W RADOMSKU,Radomsko,ul. Marii Dąbrowskiej 27,15,55,27,56,80,15,49,25,52,20,15,53,32,36,29,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,radomszczański,Radomsko,Gmina miejska,1012011,65194,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA NR 5 IM. MIKOŁAJA KOPERNIKA W RADOMSKU,Radomsko,ul. Narutowicza 207,17,57,20,56,69,17,52,26,52,16,17,63,31,56,98,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,radomszczański,Radomsko,Gmina miejska,1012011,65195,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA NR 8 IM. PRZYJACIÓŁ DZIECI W RADOMSKU,Radomsko,ul. Reja 81,7,,,,,7,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,radomszczański,Radomsko,Gmina miejska,1012011,71366,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA NR 1 IM. BOLESŁAWA CHROBREGO W RADOMSKU,Radomsko,ul. Piastowska 17,36,62,18,66,47,36,55,24,52,32,37,69,28,82,82,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,radomszczański,Radomsko,Gmina miejska,1012011,71367,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA NR 2 IM. TADEUSZA KOŚCIUSZKI W RADOMSKU,Radomsko,ul. Piłsudskiego 22,58,54,22,56,47,58,36,23,28,24,58,50,29,44,22,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,radomszczański,Radomsko,Gmina miejska,1012011,71368,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA NR 4 IM. WŁADYSŁAWA STANISŁAWA REYMONTA W RADOMSKU,Radomsko,ul. Szkolna 4,40,56,19,61,62,40,33,20,28,28,40,59,30,59,98,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,radomszczański,Radomsko,Gmina miejska,1012011,71369,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA NR 6 IM. WŁADYSŁAWA BRONIEWSKIEGO W RADOMSKU,Radomsko,ul. Świętej Jadwigi Królowej 20,70,58,18,60,69,70,45,24,36,32,71,67,27,73,95,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,radomszczański,Radomsko,Gmina miejska,1012011,71370,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA NR 7 IM. ROMUALDA TRAUGUTTA W RADOMSKU,Radomsko,ul. 11 Listopada 16,67,64,15,67,64,67,44,25,36,20,67,63,29,65,100,,,,,,,,,,,1,,,,,,,,,,,,,,
Łódzkie,radomszczański,Radomsko,Gmina miejska,1012011,71371,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA NR 9 IM. HENRYKA SIENKIEWICZA,Radomsko,ul. Rolna 65,58,61,16,62,58,58,56,27,60,40,58,76,26,89,100,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,radomszczański,Radomsko,Gmina miejska,1012011,71372,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA NR 10 W RADOMSKU,Radomsko,ul. Makuszyńskiego 25,21,50,27,44,20,21,37,25,24,16,21,49,31,44,22,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,radomszczański,Radomsko,Gmina wiejska,1012122,30807,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA W KIETLINIE,Kietlin,ul. Radomszczańska 61,14,55,18,52,47,14,39,23,30,24,14,52,27,52,18,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,radomszczański,Radomsko,Gmina wiejska,1012122,31022,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA W PŁOSZOWIE,Płoszów,ul. Radomszczańska 41,6,,,,,6,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,radomszczański,Radomsko,Gmina wiejska,1012122,31154,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA W STRZAŁKOWIE,Strzałków,ul. Kolumba 2,21,51,23,56,62,21,33,21,28,24,21,51,32,42,15,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,radomszczański,Radomsko,Gmina wiejska,1012122,31251,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA W SZCZEPOCICACH,Szczepocice Rządowe,19c,10,56,16,55,53,10,45,22,46,52,10,59,23,53,38,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,radomszczański,Wielgomłyny,Gmina wiejska,1012132,58986,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA IM. JAROSŁAWA DĄBROWSKIEGO W KRZĘTOWIE,Krzętów,ul. Stodolna 22,7,,,,,7,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,radomszczański,Wielgomłyny,Gmina wiejska,1012132,58988,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA W ZAGÓRZU,Zagórze,30,13,62,17,62,62,13,54,22,56,60,13,46,27,36,36,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,radomszczański,Wielgomłyny,Gmina wiejska,1012132,60142,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA W WIELGOMŁYNACH,Wielgomłyny,ul. Radomszczańska 9,27,54,21,53,62,27,47,27,40,20,27,48,29,42,22,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,radomszczański,Ładzice,Gmina wiejska,1012092,34517,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA W JEDLNIE,Jedlno Pierwsze,33A,20,48,19,48,47,20,41,19,34,32,20,55,31,58,67,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,radomszczański,Ładzice,Gmina wiejska,1012092,49250,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA W STOBIECKU SZLACHECKIM,Stobiecko Szlacheckie,24A,12,65,18,69,64,12,41,21,36,28,12,61,27,67,96,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,radomszczański,Ładzice,Gmina wiejska,1012092,262481,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA W RADZIECHOWICACH,Radziechowice Drugie,ul. Szkolna 5,8,,,,,8,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,radomszczański,Żytno,Gmina wiejska,1012142,80400,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA W SILNICZCE,Silniczka,ul. Główna 9,13,57,12,53,47,13,39,24,36,20,12,49,28,51,15,,,,,,,,,,,1,,,,,,,,,,,,,,
Łódzkie,radomszczański,Żytno,Gmina wiejska,1012142,80401,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA IM. HENRYKA SIENKIEWICZA W ŻYTNIE,Żytno,ul. Ogrodowa 16,17,61,11,58,53,17,37,30,24,8,15,48,30,33,25,,,,,,,,,,,2,,,,,,,,,,,,,,
Łódzkie,radomszczański,Żytno,Gmina wiejska,1012142,80842,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA W BORZYKOWEJ,Borzykowa,ul. Szkolna 12,16,58,22,60,60,16,48,30,50,16,16,51,33,38,36,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,rawski,Biała Rawska,Miasto,1013024,48803,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM. JANA KOCHANOWSKIEGO W BIAŁEJ RAWSKIEJ,Biała Rawska,ul. Mickiewicza 22/24,58,60,18,62,60,59,45,25,40,32,59,49,28,42,18,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,rawski,Biała Rawska,Obszar wiejski,1013025,48805,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM. FRYDERYKA CHOPINA W BABSKU,Babsk,ul. Lipowa 12,8,,,,,8,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,rawski,Biała Rawska,Obszar wiejski,1013025,49601,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM. STEFANA KARDYNAŁA WYSZYŃSKIEGO W PACHACH,Pachy,25,5,,,,,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,rawski,Biała Rawska,Obszar wiejski,1013025,50437,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM. BOHATERÓW POWSTANIA WARSZAWSKIEGO W BŁAŻEJEWICACH,Błażejewice,10a,10,48,11,45,40,10,41,22,34,24,10,34,13,30,,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,rawski,Biała Rawska,Obszar wiejski,1013025,53640,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM. KS. JERZEGO POPIEŁUSZKI W CHODNOWIE,Chodnów,1,4,,,,,4,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,rawski,Biała Rawska,Obszar wiejski,1013025,80744,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM. JANA PAWŁA II Z ODDZIAŁAMI INTEGRACYJNYMI W LESIEWIE,Wólka Lesiewska,21,9,,,,,9,,,,,7,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
Łódzkie,rawski,Biała Rawska,Obszar wiejski,1013025,83711,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM. MARII KONOPNICKIEJ W STAREJ WSI,Stara Wieś,17,5,,,,,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,rawski,Cielądz,Gmina wiejska,1013032,71791,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM O. PPŁK. FRANCISZKA MIENTKIEGO W CIELĄDZU,Cielądz,38,22,60,17,60,44,22,45,26,44,16,13,53,31,56,,,,,,,,,,,,,,,,,9,,,,,,,,,
Łódzkie,rawski,Cielądz,Gmina wiejska,1013032,71792,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM. JANA PAWŁA II W SIERZCHOWACH,Sierzchowy,59,5,,,,,5,,,,,4,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Łódzkie,rawski,Rawa Mazowiecka,Gmina miejska,1013011,16203,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 2 IM. MARII KONOPNICKIEJ,Rawa Mazowiecka,ul. Miła 2,65,56,17,58,56,65,46,25,44,44,65,66,28,73,96,,,,,,,,,,,,,,,,5,,,,,,,,,
Łódzkie,rawski,Rawa Mazowiecka,Gmina miejska,1013011,43637,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 1 IM. TADEUSZA KOŚCIUSZKI,Rawa Mazowiecka,ul. Kościuszki 19,61,55,21,58,58,61,55,25,52,36,60,70,28,80,95,,,,,,,,,,,1,,,,,,,,,,,,,,
Łódzkie,rawski,Rawa Mazowiecka,Gmina miejska,1013011,43803,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 4 IM. KORNELA MAKUSZYŃSKIEGO,Rawa Mazowiecka,ul. Kazimierza Wielkiego 28,52,63,12,62,64,52,58,24,60,28,52,71,25,79,100,,,,,,,,,,,,,,,,1,,,,,,,,,
Łódzkie,rawski,Rawa Mazowiecka,Gmina wiejska,1013042,83640,dla młodzieży,Tak,SZKOŁA PODSTAWOWA W PUKININIE,Pukinin,39,11,63,13,60,53,11,38,16,40,24,11,51,26,45,,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,rawski,Rawa Mazowiecka,Gmina wiejska,1013042,84273,dla młodzieży,Tak,SZKOŁA PODSTAWOWA W KONOPNICY,Konopnica,76,10,78,14,73,73,10,55,30,58,72,10,66,25,71,,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,rawski,Rawa Mazowiecka,Gmina wiejska,1013042,86965,dla młodzieży,Tak,SZKOŁA PODSTAWOWA W BOGUSZYCACH,Garłów,12,30,49,17,49,49,30,35,22,30,12,30,48,26,42,24,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,rawski,Rawa Mazowiecka,Gmina wiejska,1013042,87040,dla młodzieży,Tak,SZKOŁA PODSTAWOWA W KURZESZYNIE,Nowy Kurzeszyn,12,12,53,11,56,53,12,43,21,44,44,12,57,29,55,47,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,rawski,Rawa Mazowiecka,Gmina wiejska,1013042,87119,dla młodzieży,Tak,SZKOŁA PODSTAWOWA W STAREJ WOJSKIEJ,Stara Wojska,30b,10,48,17,49,47,10,33,15,30,16,10,46,27,37,,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,rawski,Regnów,Gmina wiejska,1013052,112115,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM. WŁADYSŁAWA CIASIA W REGNOWIE,Regnów,95,9,,,,,9,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,rawski,Sadkowice,Gmina wiejska,1013062,89813,dla młodzieży,Tak,SZKOŁA PODSTAWOWA W KŁOPOCZYNIE,Kłopoczyn,17,4,,,,,4,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,rawski,Sadkowice,Gmina wiejska,1013062,104826,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM MARSZAŁKA JÓZEFA PIŁSUDSKIEGO W LUBANI,Lubania,30,16,66,17,71,49,16,60,24,62,72,10,76,25,93,93,,,,,,,,,,,,,,,,6,,,,,,,,,
Łódzkie,rawski,Sadkowice,Gmina wiejska,1013062,104873,dla młodzieży,Tak,SZKOŁA PODSTAWOWA W TRĘBACZEWIE,Trębaczew,30,6,,,,,6,,,,,5,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Łódzkie,rawski,Sadkowice,Gmina wiejska,1013062,105181,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM. JANUSZA KORCZAKA W ZESPOLE SZKÓŁ W SADKOWICACH,Sadkowice,128,32,53,22,57,64,32,49,25,46,44,30,52,31,47,98,,,,,,,,,,,,,,,,2,,,,,,,,,
Łódzkie,sieradzki,Brzeźnio,Gmina wiejska,1014042,90511,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA IM. JANA PAWŁAII W KLICZKOWIE WELKIM,Kliczków Wielki,45A,4,,,,,4,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,sieradzki,Brzeźnio,Gmina wiejska,1014042,90525,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM ZBIGNIEWA ŚWIĘTOCHOWSKIEGO W BARCZEWIE,Barczew,3,13,59,17,62,58,13,51,15,52,40,13,53,24,51,22,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,sieradzki,Brzeźnio,Gmina wiejska,1014042,90537,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM. JULIANA TUWIMA W OSTROWIE,Ostrów,21,6,,,,,6,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,sieradzki,Brzeźnio,Gmina wiejska,1014042,91730,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM. WACŁAWY MATUSIAK W BRZEŹNIU,Bronisławów,ul. Szkolna 2,24,64,15,67,67,24,58,21,60,60,24,63,19,60,44,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,sieradzki,Brąszewice,Gmina wiejska,1014032,66111,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM. JANA PAWŁA II W BRĄSZEWICACH,Brąszewice,ul. Sieradzka 90,20,51,17,60,60,20,46,17,46,48,20,50,25,49,18,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,sieradzki,Brąszewice,Gmina wiejska,1014032,66257,dla młodzieży,Tak,SZKOŁA PODSTAWOWA W GODYNICACH,Godynice,17,15,62,14,62,62,15,46,22,48,24,15,49,32,35,85,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,sieradzki,Brąszewice,Gmina wiejska,1014032,66360,dla młodzieży,Tak,SZKOŁA PODSTAWOWA W ŻURAWIU,Żuraw,18,5,,,,,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,sieradzki,Brąszewice,Gmina wiejska,1014032,66521,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA STOWARZYSZENIA PRZYJACIÓŁ SZKÓŁ KATOLICKICH IM. ŚW. MIKOŁAJA,Chajew,44,9,,,,,9,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,sieradzki,Brąszewice,Gmina wiejska,1014032,66522,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA STOWARZYSZENIA PRZYJACIÓŁ SZKÓŁ KATOLICKICH IM. ŚW. BERNADETTY SOUBIROUS W TRZCINCE,Pipie,2,10,50,14,46,44,10,29,12,30,28,10,42,18,44,44,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,sieradzki,Burzenin,Gmina wiejska,1014052,107121,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM. KS. KAN. BALTAZARA PSTROKOŃSKIEGO W BURZENINIE,Burzenin,ul. Sieradzka 11,30,60,17,60,69,30,53,23,60,60,30,67,28,71,98,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,sieradzki,Burzenin,Gmina wiejska,1014052,107124,dla młodzieży,Tak,SZKOŁA PODSTAWOWA W WASZKOWSKIEM,Waszkowskie,12,14,43,14,42,31,14,26,15,24,16,14,38,17,31,29,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,sieradzki,Błaszki,Miasto,1014024,40560,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM. STANISŁAWA STASZICA W BŁASZKACH,Błaszki,ul. Szkolna 1,65,53,20,56,49,65,46,27,40,68,63,56,28,56,13,,,,,,,,,,,3,,,,,,,,,,,,,,
Łódzkie,sieradzki,Błaszki,Obszar wiejski,1014025,40733,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM. ŚW. JANA PAWŁA II W GRUSZCZYCACH,Gruszczyce,45,30,51,18,51,51,30,40,23,32,16,30,51,27,50,58,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,sieradzki,Błaszki,Obszar wiejski,1014025,43735,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM. STANISŁAWA MONIUSZKI W KALINOWEJ,Kalinowa,86,14,58,20,63,49,14,39,20,30,28,14,54,27,56,22,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,sieradzki,Błaszki,Obszar wiejski,1014025,43786,dla młodzieży,Tak,SZKOŁA PODSTAWOWA W KWASKOWIE,Kwasków,5,9,,,,,9,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,sieradzki,Błaszki,Obszar wiejski,1014025,43867,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM. MARII KONOPNICKIEJ W SĘDZIMIROWICACH,Sędzimirowice,10,8,,,,,8,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,sieradzki,Błaszki,Obszar wiejski,1014025,43910,dla młodzieży,Tak,SZKOŁA PODSTAWOWA WE WŁOCINIE,Włocin-Kolonia,36,5,,,,,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
