,Rural county,Urban county,Revenue per person,Website,Start date,Students,Sport venues,German or French,Logopedist,Psychologist,Pedagogue,Participants in English,Avg. score in English,Prctl in English
0,0,1,0.12066748232531856,1,0.0684931506849315,0.26217228464419473,1,1,0,1,1,0.0641025641025641,47,10.96449890040842
1,0,1,0.12066748232531856,1,0.12100456621004566,0.2858926342072409,1,1,1,0,1,0.1452991452991453,59,38.737040527803956
2,0,1,0.12066748232531856,1,0.0821917808219178,0.5923845193508115,1,1,0,1,1,0.2692307692307692,71,73.78259503612944
3,0,1,0.12066748232531856,1,0.1324200913242009,0.41760299625468167,1,1,1,0,1,0.25213675213675213,69,68.37888784165881
4,0,1,0.12066748232531856,1,0.2054794520547945,0.23595505617977527,0,1,0,0,1,0.18803418803418803,70,71.06503298774741
5,0,1,0.12066748232531856,0,0.12557077625570776,0.42134831460674155,0,1,0,0,1,0.2777777777777778,78,88.67420672321708
6,0,1,0.12066748232531856,1,0.2990867579908676,0.1853932584269663,1,1,0,0,1,0.09401709401709402,66,59.72353125981778
7,0,1,0.12066748232531856,1,0.136986301369863,0.2802746566791511,1,1,0,0,1,0.20512820512820512,65,57.21017907634307
8,0,1,0.12066748232531856,1,0.0821917808219178,0.5805243445692884,1,1,0,1,1,0.5,74,80.60006283380459
9,0,1,0.13582935082595035,1,0.1050228310502283,0.17228464419475656,0,0,1,1,1,0.029914529914529916,57,33.113415017279294
10,0,1,0.13582935082595035,1,0.1050228310502283,0.5599250936329588,1,1,0,1,1,0.32051282051282054,62,47.56519007225887
11,0,1,0.13582935082595035,1,0.06621004566210045,0.5568039950062422,1,1,1,1,1,0.3717948717948718,74,80.60006283380459
12,0,1,0.13582935082595035,1,0.06621004566210045,0.14856429463171036,0,1,0,1,1,0.05128205128205128,61,44.56487590323594
13,0,1,0.13582935082595035,1,0.09817351598173515,0.6004993757802747,0,1,1,1,1,0.37606837606837606,79,90.44926170279611
14,0,1,0.13582935082595035,1,0.05707762557077625,0.5374531835205992,0,1,1,1,1,0.36324786324786323,76,84.90417844800503
15,0,1,0.04349178103542845,1,0.08447488584474885,0.44756554307116103,1,1,1,1,1,0.24786324786324787,66,59.72353125981778
16,0,1,0.04349178103542845,1,0.17123287671232876,0.5948813982521848,0,1,1,1,1,0.29914529914529914,75,82.8306628966384
17,0,1,0.04349178103542845,1,0.12557077625570776,0.29712858926342073,1,1,0,1,1,0.10683760683760683,62,47.56519007225887
18,0,1,0.04349178103542845,1,0.1415525114155251,0.4681647940074906,1,0,1,1,1,0.2905982905982906,66,59.72353125981778
19,0,1,0.04349178103542845,1,0.1187214611872146,0.16541822721598,1,1,0,1,0,0.05982905982905983,67,62.5196355639334
20,0,1,0.04349178103542845,1,0.0684931506849315,0.34269662921348315,1,1,1,1,1,0.2222222222222222,72,76.40590637763115
21,0,1,0.04349178103542845,1,0.0684931506849315,0.4469413233458177,1,1,1,1,1,0.24786324786324787,69,68.37888784165881
22,0,1,0.04349178103542845,1,0.07534246575342465,0.3682896379525593,0,1,1,1,1,0.2777777777777778,63,50.67546339930883
23,1,0,0.056549808066933924,0,0.0547945205479452,0.16292134831460675,0,0,1,0,1,0.03418803418803419,61,44.56487590323594
24,1,0,0.056549808066933924,1,0.0547945205479452,0.07428214731585518,1,1,1,0,1,0.008547008547008548,47,10.96449890040842
25,1,0,0.056549808066933924,0,0.0547945205479452,0.12484394506866417,0,1,0,0,0,0.017094017094017096,65,57.21017907634307
26,1,0,0.056549808066933924,0,0.0547945205479452,0.11922596754057428,0,1,0,0,0,0.021367521367521368,61,44.56487590323594
27,1,0,0.056549808066933924,0,0.0547945205479452,0.07740324594257178,0,0,1,0,1,0.0,54,25.384857053094567
28,1,0,0.056549808066933924,1,0.0547945205479452,0.06554307116104868,0,1,0,0,0,0.017094017094017096,67,62.5196355639334
29,1,0,0.0662800294158314,1,0.18949771689497716,0.07865168539325842,0,1,0,0,0,0.029914529914529916,53,22.79296261388627
30,1,0,0.0662800294158314,1,0.02511415525114155,0.11860174781523096,0,1,0,0,1,0.038461538461538464,65,57.21017907634307
31,1,0,1.0,1,0.12100456621004566,0.3021223470661673,1,0,1,1,1,0.21794871794871795,81,92.86836317939051
32,1,0,1.0,1,0.1506849315068493,0.1679151061173533,0,0,1,1,1,0.017094017094017096,80,91.67452089224003
33,1,0,0.03858550024759665,0,0.0639269406392694,0.05867665418227216,1,0,1,0,1,0.008547008547008548,60,41.69022934338674
34,1,0,0.03858550024759665,1,0.0639269406392694,0.11548064918851436,0,1,0,0,1,0.02564102564102564,67,62.5196355639334
35,1,0,0.04430289730856454,0,0.03881278538812785,0.09675405742821473,0,1,0,0,1,0.05555555555555555,53,22.79296261388627
36,1,0,0.04430289730856454,1,0.091324200913242,0.16104868913857678,0,0,1,1,1,0.0811965811965812,74,80.60006283380459
37,1,0,0.2333394077449276,1,0.1872146118721461,0.4519350811485643,0,1,1,0,1,0.2606837606837607,59,38.737040527803956
38,0,1,0.06008547014643044,1,0.04794520547945205,0.2940074906367041,1,1,1,1,0,0.24358974358974358,72,76.40590637763115
39,0,1,0.06008547014643044,1,0.04794520547945205,0.29775280898876405,0,1,0,0,0,0.20085470085470086,65,57.21017907634307
40,1,0,0.04128755348588867,1,0.0684931506849315,0.09800249687890138,0,1,0,0,1,0.008547008547008548,48,12.849513038014452
41,1,0,0.05254658014261385,1,0.10730593607305935,0.09612983770287141,0,1,1,0,1,0.004273504273504274,61,44.56487590323594
42,1,0,0.05254658014261385,1,0.04794520547945205,0.18414481897627966,1,1,1,0,1,0.1452991452991453,63,50.67546339930883
43,1,0,0.06183773267981256,1,0.23059360730593606,0.17415730337078653,0,1,1,1,1,0.07264957264957266,49,14.828777882500784
44,1,0,0.048204623768748664,0,0.21689497716894976,0.20474406991260924,0,1,0,1,1,0.1111111111111111,71,73.78259503612944
45,1,0,0.03634030715521988,1,0.1917808219178082,0.05555555555555555,1,1,1,0,0,0.021367521367521368,29,0.2827521206409048
46,1,0,0.03634030715521988,1,0.00684931506849315,0.07990012484394507,1,1,1,0,1,0.008547008547008548,39,2.7175620483820295
47,1,0,0.1672966575331105,0,0.10273972602739725,0.1017478152309613,0,1,1,0,1,0.05555555555555555,42,4.775369148601947
48,0,1,0.06247323790595819,1,0.1963470319634703,0.16853932584269662,1,1,0,0,1,0.029914529914529916,45,8.184103047439523
49,0,1,0.06247323790595819,1,0.18949771689497716,0.29525593008739076,1,1,1,1,1,0.25213675213675213,65,57.21017907634307
50,0,1,0.06247323790595819,1,0.0273972602739726,0.0986267166042447,1,1,1,1,1,0.021367521367521368,64,53.75431982406534
51,0,1,0.06247323790595819,1,0.20776255707762556,0.16292134831460675,1,1,1,1,1,0.08974358974358974,45,8.184103047439523
52,0,1,0.06247323790595819,1,0.08447488584474885,0.48564294631710364,0,1,1,1,1,0.358974358974359,62,47.56519007225887
53,0,1,0.06247323790595819,1,0.22602739726027396,0.5611735330836455,1,1,1,1,1,0.41025641025641024,70,71.06503298774741
54,0,1,0.06247323790595819,0,0.00684931506849315,0.17415730337078653,1,1,1,1,1,0.01282051282051282,52,20.23248507697141
55,1,0,0.04619863841344165,0,0.2100456621004566,0.08177278401997504,1,1,0,0,0,0.004273504273504274,59,38.737040527803956
56,1,0,0.06700364065600586,1,0.04794520547945205,0.11860174781523096,1,1,1,0,1,0.04700854700854701,48,12.849513038014452
57,1,0,0.06357406785165243,1,0.04794520547945205,0.1136079900124844,0,0,0,0,0,0.017094017094017096,40,3.314483191957273
58,1,0,0.11951070563837736,1,0.04794520547945205,0.16354556803995007,1,1,0,0,1,0.1282051282051282,47,10.96449890040842
59,1,0,0.056793059347057896,1,0.0547945205479452,0.10549313358302122,1,1,1,0,1,0.038461538461538464,46,9.519321394910461
60,1,0,0.05126236990015307,1,0.04794520547945205,0.14232209737827714,1,1,0,0,1,0.01282051282051282,63,50.67546339930883
61,1,0,0.05126236990015307,1,0.04794520547945205,0.09425717852684144,0,1,0,0,0,0.038461538461538464,53,22.79296261388627
62,1,0,0.05126236990015307,1,0.04794520547945205,0.0749063670411985,1,0,0,0,0,0.004273504273504274,52,20.23248507697141
63,1,0,0.05126236990015307,1,0.04794520547945205,0.06117353308364544,1,0,0,0,0,0.008547008547008548,53,22.79296261388627
64,1,0,0.05157196349320973,1,0.04794520547945205,0.11173533083645443,1,1,0,0,1,0.008547008547008548,54,25.384857053094567
65,1,0,0.05157196349320973,1,0.04794520547945205,0.06991260923845194,1,1,0,0,1,0.038461538461538464,65,57.21017907634307
66,1,0,0.1475108525782325,1,0.1598173515981735,0.18102372034956304,1,1,0,0,1,0.042735042735042736,53,22.79296261388627
67,1,0,0.1475108525782325,0,0.24429223744292236,0.04868913857677903,1,1,1,0,1,0.0,47,10.96449890040842
68,1,0,0.1475108525782325,0,0.2054794520547945,0.06803995006242197,0,1,0,0,1,0.02564102564102564,49,14.828777882500784
69,1,0,0.04304954005689669,0,0.09817351598173515,0.10362047440699126,1,0,1,0,0,0.03418803418803419,44,6.8645931511153
70,1,0,0.05758549666196348,1,0.22602739726027396,0.0599250936329588,1,1,0,0,1,0.004273504273504274,53,22.79296261388627
71,1,0,0.05758549666196348,1,0.228310502283105,0.07865168539325842,1,0,0,0,0,0.017094017094017096,70,71.06503298774741
72,1,0,0.05758549666196348,1,0.2420091324200913,0.08739076154806492,1,1,0,0,1,0.01282051282051282,56,30.301602262016964
73,1,0,0.05758549666196348,1,0.00684931506849315,0.028089887640449437,0,1,0,0,1,0.008547008547008548,39,2.7175620483820295
74,1,0,0.06324054910072023,1,0.228310502283105,0.2802746566791511,1,1,0,0,0,0.10256410256410256,56,30.301602262016964
75,1,0,0.06824863804906385,1,0.10273972602739725,0.22846441947565543,1,1,1,0,1,0.12393162393162394,76,84.90417844800503
76,1,0,0.06824863804906385,1,0.07990867579908675,0.09051186017478152,0,1,0,1,1,0.029914529914529916,64,53.75431982406534
77,1,0,0.06824863804906385,1,0.07990867579908675,0.09051186017478152,0,1,1,0,1,0.0,82,93.7794533459001
78,1,0,0.05702090623946682,0,0.17123287671232876,0.22034956304619227,0,1,0,1,1,0.11538461538461539,64,53.75431982406534
79,0,1,0.042478095642355704,1,0.1187214611872146,0.3920099875156055,1,1,0,1,1,0.2094017094017094,69,68.37888784165881
80,0,1,0.042478095642355704,1,0.06621004566210045,0.3595505617977528,0,1,0,1,0,0.14102564102564102,81,92.86836317939051
81,0,1,0.042478095642355704,1,0.20319634703196346,0.31647940074906367,0,0,1,1,1,0.10683760683760683,76,84.90417844800503
82,1,0,0.11358100009152672,1,0.07990867579908675,0.16853932584269662,1,1,0,0,1,0.09829059829059829,71,73.78259503612944
83,1,0,0.11358100009152672,1,0.10273972602739725,0.3564294631710362,0,1,0,1,1,0.18803418803418803,77,86.96198554822494
84,1,0,0.04578517278325753,0,0.07990867579908675,0.1441947565543071,1,1,1,1,1,0.05128205128205128,64,53.75431982406534
85,1,0,0.04578517278325753,1,0.07990867579908675,0.10112359550561797,1,1,0,1,0,0.008547008547008548,58,35.68960100534087
86,1,0,0.04578517278325753,1,0.07990867579908675,0.38264669163545567,1,1,1,1,1,0.09401709401709402,76,84.90417844800503
87,0,1,0.03154691204255714,0,0.07077625570776255,0.5767790262172284,1,1,1,0,1,0.47863247863247865,72,76.40590637763115
88,0,1,0.03154691204255714,1,0.273972602739726,0.20973782771535582,1,1,0,1,1,0.08974358974358974,71,73.78259503612944
89,0,1,0.03154691204255714,1,0.23515981735159816,0.22034956304619227,1,1,0,0,1,0.15384615384615385,64,53.75431982406534
90,0,1,0.03154691204255714,1,0.2328767123287671,0.15043695380774033,0,1,0,1,1,0.09401709401709402,78,88.67420672321708
91,0,1,0.03154691204255714,1,0.1324200913242009,0.2515605493133583,0,1,0,0,0,0.15384615384615385,66,59.72353125981778
92,0,1,0.03154691204255714,1,0.1415525114155251,0.21473158551810237,1,1,1,0,1,0.24358974358974358,73,78.69934024505184
93,0,1,0.03154691204255714,1,0.12557077625570776,0.2303370786516854,1,1,0,0,1,0.2094017094017094,73,78.69934024505184
94,0,1,0.03154691204255714,0,0.17123287671232876,0.14357053682896379,1,1,1,1,1,0.042735042735042736,50,16.462456801759345
95,1,0,0.11235794255875797,1,0.04794520547945205,0.20224719101123595,1,1,1,1,1,0.07264957264957266,77,86.96198554822494
96,1,0,0.11235794255875797,0,0.04794520547945205,0.17540574282147317,1,1,1,1,1,0.02564102564102564,59,38.737040527803956
97,1,0,0.11235794255875797,0,0.04794520547945205,0.1104868913857678,1,1,1,1,1,0.008547008547008548,56,30.301602262016964
98,1,0,0.11235794255875797,0,0.05251141552511415,0.1772784019975031,0,1,1,1,1,0.1111111111111111,57,33.113415017279294
99,1,0,0.035401844235564583,1,0.04794520547945205,0.054307116104868915,1,1,1,0,1,0.0,51,18.44172164624568
100,1,0,0.035401844235564583,0,0.04794520547945205,0.11735330836454431,0,1,0,0,1,0.08974358974358974,48,12.849513038014452
101,1,0,0.04693125766074068,0,0.04794520547945205,0.1766541822721598,1,1,0,0,0,0.1452991452991453,58,35.68960100534087
102,1,0,0.25831898048049157,1,0.05707762557077625,0.09363295880149813,1,1,1,0,1,0.008547008547008548,77,86.96198554822494
