RSPO,TERYT,Rural county,Urban county,Rural territory,City,Revenue per person,Website,Start date,Students,Sport venues,German or French,Logopedist,Psychologist,Pedagogue,Participants in English,Avg. score in English
85935,1007062,1,0,0,0,5114.68,0,1977-08-01,166,1,0,1,0,0,18,44
47620,1007072,1,0,0,0,5500.8,1,1921-10-12,96,1,1,0,0,1,11,53
51830,1007072,1,0,0,0,5500.8,1,1920-09-01,126,1,0,0,0,0,14,70
51832,1007072,1,0,0,0,5500.8,1,1914-09-01,140,1,1,0,0,1,13,56
262552,1007072,1,0,0,0,5500.8,1,2017-09-01,45,0,1,0,0,1,12,39
14744,1007082,1,0,0,0,5652.07,1,1920-09-01,449,1,1,0,0,0,34,56
25806,1008042,1,0,0,0,5786.53,1,1975-12-15,366,1,1,1,0,1,39,76
25858,1008042,1,0,0,0,5786.53,1,1985-01-01,145,0,1,0,1,1,17,64
29035,1008042,1,0,0,0,5786.53,1,1985-09-01,145,0,1,1,0,1,10,82
69793,1008032,1,0,0,0,5485.73,0,1945-02-26,353,0,1,0,1,1,37,64
48933,1008011,0,1,0,0,5099.58,1,1968-09-01,628,1,1,0,1,1,59,69
83425,1008011,0,1,0,0,5099.58,1,1991-09-01,576,0,1,0,1,0,43,81
83426,1008011,0,1,0,0,5099.58,1,1931-08-01,507,0,0,1,1,1,35,76
37676,1008052,1,0,0,0,7025.11,1,1985-01-01,270,1,1,0,0,1,33,71
38766,1008052,1,0,0,0,7025.11,1,1975-12-15,571,0,1,0,1,1,54,77
47264,1008062,1,0,0,0,5187.05,0,1985-01-01,231,1,1,1,1,1,22,64
59818,1008062,1,0,0,0,5187.05,1,1985-01-01,162,1,1,0,1,0,12,58
111078,1008062,1,0,0,0,5187.05,1,1985-01-01,613,1,1,1,1,1,32,76
57324,1008021,0,1,0,0,4811.88,0,1989-09-01,924,1,1,1,0,1,122,72
57326,1008021,0,1,0,0,4811.88,1,1900-10-01,336,1,1,0,1,1,31,71
57327,1008021,0,1,0,0,4811.88,1,1917-07-17,353,1,1,0,0,1,46,64
57328,1008021,0,1,0,0,4811.88,1,1918-09-02,241,0,1,0,1,1,32,78
