ID,Rural county,Urban county,Revenue per person,Website,Start date,Students,Sport venues,German or French,Logopedist,Psychologist,Pedagogue,Participants in mathematics,Avg. score in mathematics,Prctl in mathematics
193,1,0,0.08358483216948596,0,0.04337899543378995,0.039950062421972535,1,0,0,0,0,0.0,29,4.436598096407737
194,1,0,0.05316515016105455,1,0.10273972602739725,0.19225967540574282,0,1,0,0,1,0.08368200836820083,53,77.6788455634019
195,1,0,0.05316515016105455,1,0.07990867579908675,0.08489388264669163,0,1,1,0,1,0.016736401673640166,26,1.8421860607921399
196,1,0,0.042243018695807925,0,0.04794520547945205,0.12047440699126093,1,1,1,0,1,0.0502092050209205,49,65.18268345102855
197,1,0,0.0840324752723595,0,0.136986301369863,0.1466916354556804,0,1,1,0,1,0.08786610878661087,44,46.49984648449493
198,0,1,0.027570746527645896,1,0.0821917808219178,0.6179775280898876,1,1,1,1,1,0.49372384937238495,58,88.01043905434449
199,0,1,0.027570746527645896,1,0.17123287671232876,0.18414481897627966,1,1,0,1,1,0.13807531380753138,35,15.059871046975745
200,0,1,0.027570746527645896,1,0.13470319634703196,0.4207240948813982,0,1,0,1,1,0.2510460251046025,60,91.06539760515811
201,0,1,0.027570746527645896,1,0.04794520547945205,0.19912609238451934,0,1,0,1,1,0.19665271966527198,55,82.63739637703408
202,0,1,0.027570746527645896,1,0.2328767123287671,0.08863920099875156,1,1,0,0,0,0.0,44,46.49984648449493
203,0,1,0.027570746527645896,0,0.21232876712328766,0.3545568039950062,1,1,1,1,1,0.14225941422594143,45,50.690819772797056
204,0,1,0.027570746527645896,1,0.00684931506849315,0.33395755305867664,1,1,0,0,1,0.04602510460251046,53,77.6788455634019
205,1,0,0.054359449748449855,1,0.1552511415525114,0.15106117353308365,0,1,1,0,1,0.029288702928870293,50,68.28369665336199
206,1,0,0.054359449748449855,1,0.1506849315068493,0.10237203495630462,1,0,1,0,1,0.016736401673640166,51,71.40006140620203
207,1,0,0.054359449748449855,1,0.16210045662100456,0.08739076154806492,0,1,1,0,0,0.02510460251046025,42,38.44028246852932
208,1,0,0.054359449748449855,1,0.1872146118721461,0.15293383270911362,1,1,1,0,0,0.05439330543933055,39,27.387166103776483
209,1,0,0.054359449748449855,1,0.1689497716894977,0.10986267166042447,1,0,1,0,1,0.008368200836820083,43,42.29352164568622
210,1,0,0.06343940121632292,1,0.2054794520547945,0.09113607990012484,0,1,0,0,0,0.0041841004184100415,58,88.01043905434449
211,1,0,0.06343940121632292,1,0.2328767123287671,0.06367041198501873,0,1,1,0,0,0.0,44,46.49984648449493
212,1,0,0.06343940121632292,1,0.1689497716894977,0.09987515605493133,1,1,0,0,1,0.03765690376569038,49,65.18268345102855
213,1,0,0.06343940121632292,1,0.0045662100456621,0.08302122347066167,1,1,0,0,0,0.02510460251046025,59,89.74516426159042
214,1,0,0.07333499581297366,1,0.10273972602739725,0.12609238451935081,0,1,1,0,1,0.03765690376569038,39,27.387166103776483
215,1,0,0.10573951250490353,1,0.17123287671232876,0.1254681647940075,0,1,0,1,0,0.07112970711297072,64,95.39453484801965
216,1,0,0.07361321832392995,1,0.04794520547945205,0.05805243445692884,1,1,0,1,0,0.0041841004184100415,65,96.0853546208167
217,1,0,0.07361321832392995,1,0.04794520547945205,0.06554307116104868,1,0,0,0,0,0.0,53,77.6788455634019
218,1,0,0.07361321832392995,1,0.04794520547945205,0.10611735330836454,0,1,1,1,1,0.0502092050209205,50,68.28369665336199
219,1,0,0.07361321832392995,1,0.04794520547945205,0.07053682896379526,1,0,0,1,1,0.0,48,61.57506908197728
220,1,0,0.10762428927446066,0,0.06621004566210045,0.12047440699126093,1,1,0,1,0,0.06276150627615062,45,50.690819772797056
221,1,0,0.11721269581100412,0,0.04794520547945205,0.1704119850187266,0,1,1,1,0,0.058577405857740586,58,88.01043905434449
222,1,0,0.11721269581100412,0,0.04794520547945205,0.03058676654182272,0,1,0,0,0,0.0,60,91.06539760515811
223,1,0,0.0577948672013511,1,0.17123287671232876,0.1017478152309613,1,1,1,0,0,0.0,39,27.387166103776483
224,1,0,0.09339080658917429,1,0.04794520547945205,0.08551810237203496,0,1,0,1,0,0.016736401673640166,47,57.72182990482039
225,1,0,0.09339080658917429,1,0.04794520547945205,0.07428214731585518,0,1,1,1,0,0.029288702928870293,44,46.49984648449493
226,1,0,0.0460547884715635,0,0.04794520547945205,0.0898876404494382,1,1,0,0,0,0.012552301255230125,50,68.28369665336199
227,1,0,0.0525135021006602,1,0.18493150684931506,0.1891385767790262,1,1,0,0,0,0.06694560669456066,48,61.57506908197728
228,1,0,0.043925189401744155,0,0.03424657534246575,0.17790262172284643,0,0,1,0,1,0.05439330543933055,44,46.49984648449493
229,1,0,0.08817934600530422,1,0.04794520547945205,0.24531835205992508,0,1,1,0,1,0.12552301255230125,32,8.67362603622966
230,1,0,0.13353375442174728,0,0.04794520547945205,0.0749063670411985,1,1,0,0,1,0.016736401673640166,48,61.57506908197728
231,1,0,0.12371084124798776,0,0.045662100456621,0.35081148564294634,0,1,1,1,1,0.18828451882845187,53,77.6788455634019
232,1,0,0.060456354539170185,1,0.13013698630136986,0.20411985018726592,1,1,0,0,1,0.13807531380753138,55,82.63739637703408
233,1,0,0.060456354539170185,1,0.4840182648401826,0.09488139825218476,1,1,1,0,1,0.02510460251046025,55,82.63739637703408
234,1,0,0.08044448585432985,1,0.0182648401826484,0.20474406991260924,1,1,0,1,0,0.13807531380753138,49,65.18268345102855
235,0,1,0.04192725121568683,1,0.2328767123287671,0.5530586766541823,0,1,0,0,1,0.401673640167364,54,80.2118513969911
236,0,1,0.04192725121568683,1,0.1324200913242009,0.16042446941323346,0,0,1,0,1,0.02092050209205021,60,91.06539760515811
237,0,1,0.04192725121568683,1,0.02054794520547945,0.22659176029962547,0,1,1,0,1,0.17573221757322174,34,12.711083819465765
238,0,1,0.04192725121568683,1,0.13926940639269406,0.2908863920099875,0,1,1,0,1,0.35564853556485354,50,68.28369665336199
239,0,1,0.04192725121568683,1,0.13470319634703196,0.2883895131086142,0,0,1,0,1,0.2217573221757322,36,17.838501688670554
240,0,1,0.04192725121568683,1,0.1187214611872146,0.24282147315855182,0,1,1,0,1,0.200836820083682,45,50.690819772797056
241,0,1,0.04192725121568683,1,0.09817351598173515,0.22908863920099876,0,1,0,0,1,0.13389121338912133,39,27.387166103776483
