ID,Rural county,Urban county,Revenue per person,Website,Start date,Students,Sport venues,German or French,Logopedist,Psychologist,Pedagogue,Participants in Polish,Avg. score in Polish,Prctl in Polish
0,0,1,0.12066748232531856,1,0.0684931506849315,0.26217228464419473,1,1,0,1,1,0.07112970711297072,43,2.3783949670093603
1,0,1,0.12066748232531856,1,0.12100456621004566,0.2858926342072409,1,1,1,0,1,0.14225941422594143,61,58.984195181832135
2,0,1,0.12066748232531856,1,0.0821917808219178,0.5923845193508115,1,1,0,1,1,0.24686192468619247,59,48.319779039435325
3,0,1,0.12066748232531856,1,0.1324200913242009,0.41760299625468167,1,1,1,0,1,0.24686192468619247,58,42.73438698787786
4,0,1,0.12066748232531856,1,0.2054794520547945,0.23595505617977527,0,1,0,0,1,0.18410041841004185,68,88.32284793616695
5,0,1,0.12066748232531856,0,0.12557077625570776,0.42134831460674155,0,1,0,0,1,0.3179916317991632,63,69.38775510204081
6,0,1,0.12066748232531856,1,0.2990867579908676,0.1853932584269663,1,1,0,0,1,0.09205020920502092,62,64.10925272364585
7,0,1,0.12066748232531856,1,0.136986301369863,0.2802746566791511,1,1,0,0,1,0.200836820083682,55,29.016418597514193
8,0,1,0.12066748232531856,1,0.0821917808219178,0.5805243445692884,1,1,0,1,1,0.48535564853556484,65,78.21083320546263
9,0,1,0.13582935082595035,1,0.1050228310502283,0.17228464419475656,0,0,1,1,1,0.029288702928870293,49,10.050636796071812
10,0,1,0.13582935082595035,1,0.1050228310502283,0.5599250936329588,1,1,0,1,1,0.32217573221757323,53,21.052631578947366
11,0,1,0.13582935082595035,1,0.06621004566210045,0.5568039950062422,1,1,1,1,1,0.36401673640167365,67,85.1465398189351
12,0,1,0.13582935082595035,1,0.06621004566210045,0.14856429463171036,0,1,0,1,1,0.0502092050209205,53,21.052631578947366
13,0,1,0.13582935082595035,1,0.09817351598173515,0.6004993757802747,0,1,1,1,1,0.3723849372384937,62,64.10925272364585
14,0,1,0.13582935082595035,1,0.05707762557077625,0.5374531835205992,0,1,1,1,1,0.35564853556485354,61,58.984195181832135
15,0,1,0.04349178103542845,1,0.08447488584474885,0.44756554307116103,1,1,1,1,1,0.24267782426778242,51,14.976216050329908
16,0,1,0.04349178103542845,1,0.17123287671232876,0.5948813982521848,0,1,1,1,1,0.29707112970711297,63,69.38775510204081
17,0,1,0.04349178103542845,1,0.12557077625570776,0.29712858926342073,1,1,0,1,1,0.10460251046025104,54,25.118919748350464
18,0,1,0.04349178103542845,1,0.1415525114155251,0.4681647940074906,1,0,1,1,1,0.27615062761506276,54,25.118919748350464
19,0,1,0.04349178103542845,1,0.1187214611872146,0.16541822721598,1,1,0,1,0,0.058577405857740586,54,25.118919748350464
20,0,1,0.04349178103542845,1,0.0684931506849315,0.34269662921348315,1,1,1,1,1,0.2175732217573222,58,42.73438698787786
21,0,1,0.04349178103542845,1,0.0684931506849315,0.4469413233458177,1,1,1,1,1,0.26778242677824265,53,21.052631578947366
22,0,1,0.04349178103542845,1,0.07534246575342465,0.3682896379525593,0,1,1,1,1,0.26778242677824265,60,53.5369034831978
23,1,0,0.056549808066933924,0,0.0547945205479452,0.16292134831460675,0,0,1,0,1,0.03347280334728033,57,37.70139634801289
24,1,0,0.056549808066933924,1,0.0547945205479452,0.07428214731585518,1,1,1,0,1,0.008368200836820083,53,21.052631578947366
25,1,0,0.056549808066933924,0,0.0547945205479452,0.12484394506866417,0,1,0,0,0,0.016736401673640166,53,21.052631578947366
26,1,0,0.056549808066933924,0,0.0547945205479452,0.11922596754057428,0,1,0,0,0,0.02510460251046025,49,10.050636796071812
27,1,0,0.056549808066933924,0,0.0547945205479452,0.07740324594257178,0,0,1,0,1,0.0,61,58.984195181832135
28,1,0,0.056549808066933924,1,0.0547945205479452,0.06554307116104868,0,1,0,0,0,0.016736401673640166,68,88.32284793616695
29,1,0,0.0662800294158314,1,0.18949771689497716,0.07865168539325842,0,1,0,0,0,0.029288702928870293,48,7.9484425349087005
30,1,0,0.0662800294158314,1,0.02511415525114155,0.11860174781523096,0,1,0,0,1,0.03765690376569038,62,64.10925272364585
31,1,0,1.0,1,0.12100456621004566,0.3021223470661673,1,0,1,1,1,0.21338912133891214,67,85.1465398189351
32,1,0,1.0,1,0.1506849315068493,0.1679151061173533,0,0,1,1,1,0.016736401673640166,70,92.7880926806813
33,1,0,0.03858550024759665,0,0.0639269406392694,0.05867665418227216,1,0,1,0,1,0.008368200836820083,56,33.15942918520792
34,1,0,0.03858550024759665,1,0.0639269406392694,0.11548064918851436,0,1,0,0,1,0.029288702928870293,61,58.984195181832135
35,1,0,0.04430289730856454,0,0.03881278538812785,0.09675405742821473,0,1,0,0,1,0.05439330543933055,54,25.118919748350464
36,1,0,0.04430289730856454,1,0.091324200913242,0.16104868913857678,0,0,1,1,1,0.0794979079497908,63,69.38775510204081
37,1,0,0.2333394077449276,1,0.1872146118721461,0.4519350811485643,0,1,1,0,1,0.2594142259414226,53,21.052631578947366
38,0,1,0.06008547014643044,1,0.04794520547945205,0.2940074906367041,1,1,1,1,0,0.23430962343096234,66,81.84747583243825
39,0,1,0.06008547014643044,1,0.04794520547945205,0.29775280898876405,0,1,0,0,0,0.19665271966527198,60,53.5369034831978
40,1,0,0.04128755348588867,1,0.0684931506849315,0.09800249687890138,0,1,0,0,1,0.008368200836820083,53,21.052631578947366
41,1,0,0.05254658014261385,1,0.10730593607305935,0.09612983770287141,0,1,1,0,1,0.0041841004184100415,69,90.68589841951818
42,1,0,0.05254658014261385,1,0.04794520547945205,0.18414481897627966,1,1,1,0,1,0.14225941422594143,59,48.319779039435325
43,1,0,0.06183773267981256,1,0.23059360730593606,0.17415730337078653,0,1,1,1,1,0.09205020920502092,55,29.016418597514193
44,1,0,0.048204623768748664,0,0.21689497716894976,0.20474406991260924,0,1,0,1,1,0.11297071129707113,69,90.68589841951818
45,1,0,0.03634030715521988,1,0.1917808219178082,0.05555555555555555,1,1,1,0,0,0.02092050209205021,43,2.3783949670093603
46,1,0,0.03634030715521988,1,0.00684931506849315,0.07990012484394507,1,1,1,0,1,0.012552301255230125,62,64.10925272364585
47,1,0,0.1672966575331105,0,0.10273972602739725,0.1017478152309613,0,1,1,0,1,0.05439330543933055,50,12.352309344790548
48,0,1,0.06247323790595819,1,0.1963470319634703,0.16853932584269662,1,1,0,0,1,0.03347280334728033,42,1.7032376860518643
49,0,1,0.06247323790595819,1,0.18949771689497716,0.29525593008739076,1,1,1,1,1,0.24686192468619247,59,48.319779039435325
50,0,1,0.06247323790595819,1,0.0273972602739726,0.0986267166042447,1,1,1,1,1,0.02092050209205021,53,21.052631578947366
51,0,1,0.06247323790595819,1,0.20776255707762556,0.16292134831460675,1,1,1,1,1,0.08786610878661087,51,14.976216050329908
52,0,1,0.06247323790595819,1,0.08447488584474885,0.48564294631710364,0,1,1,1,1,0.3514644351464435,64,74.06782261776891
53,0,1,0.06247323790595819,1,0.22602739726027396,0.5611735330836455,1,1,1,1,1,0.40585774058577406,58,42.73438698787786
54,0,1,0.06247323790595819,0,0.00684931506849315,0.17415730337078653,1,1,1,1,1,0.012552301255230125,53,21.052631578947366
55,1,0,0.04619863841344165,0,0.2100456621004566,0.08177278401997504,1,1,0,0,0,0.0041841004184100415,60,53.5369034831978
56,1,0,0.04619863841344165,1,0.17123287671232876,0.09425717852684144,1,1,1,0,0,0.02510460251046025,56,33.15942918520792
57,1,0,0.04619863841344165,1,0.2328767123287671,0.14481897627965043,0,1,1,0,1,0.02510460251046025,51,14.976216050329908
58,1,0,0.06700364065600586,1,0.04794520547945205,0.11860174781523096,1,1,1,0,1,0.04602510460251046,49,10.050636796071812
59,1,0,0.06357406785165243,1,0.04794520547945205,0.1136079900124844,0,0,0,0,0,0.016736401673640166,64,74.06782261776891
60,1,0,0.11951070563837736,1,0.04794520547945205,0.16354556803995007,1,1,0,0,1,0.12552301255230125,57,37.70139634801289
61,1,0,0.056793059347057896,1,0.0547945205479452,0.10549313358302122,1,1,1,0,1,0.03765690376569038,50,12.352309344790548
62,1,0,0.05126236990015307,1,0.04794520547945205,0.14232209737827714,1,1,0,0,1,0.012552301255230125,59,48.319779039435325
63,1,0,0.05126236990015307,1,0.04794520547945205,0.09425717852684144,0,1,0,0,0,0.03765690376569038,50,12.352309344790548
64,1,0,0.05126236990015307,1,0.04794520547945205,0.0749063670411985,1,0,0,0,0,0.0041841004184100415,60,53.5369034831978
65,1,0,0.05126236990015307,1,0.04794520547945205,0.06117353308364544,1,0,0,0,0,0.008368200836820083,51,14.976216050329908
66,1,0,0.05157196349320973,1,0.04794520547945205,0.11173533083645443,1,1,0,0,1,0.008368200836820083,62,64.10925272364585
67,1,0,0.05157196349320973,1,0.04794520547945205,0.06991260923845194,1,1,0,0,1,0.03765690376569038,60,53.5369034831978
68,1,0,0.05157196349320973,0,0.00684931506849315,0.13920099875156056,1,1,0,0,1,0.0,77,99.17139788246125
69,1,0,0.1475108525782325,1,0.1598173515981735,0.18102372034956304,1,1,0,0,1,0.04184100418410042,49,10.050636796071812
70,1,0,0.1475108525782325,0,0.24429223744292236,0.04868913857677903,1,1,1,0,1,0.0,61,58.984195181832135
71,1,0,0.1475108525782325,0,0.2054794520547945,0.06803995006242197,0,1,0,0,1,0.02510460251046025,53,21.052631578947366
72,1,0,0.04304954005689669,0,0.09817351598173515,0.10362047440699126,1,0,1,0,0,0.03347280334728033,59,48.319779039435325
73,1,0,0.05758549666196348,1,0.22602739726027396,0.0599250936329588,1,1,0,0,1,0.0041841004184100415,58,42.73438698787786
74,1,0,0.05758549666196348,1,0.228310502283105,0.07865168539325842,1,0,0,0,0,0.016736401673640166,67,85.1465398189351
75,1,0,0.05758549666196348,1,0.2420091324200913,0.08739076154806492,1,1,0,0,1,0.012552301255230125,57,37.70139634801289
76,1,0,0.05758549666196348,1,0.00684931506849315,0.028089887640449437,0,1,0,0,1,0.008368200836820083,50,12.352309344790548
77,1,0,0.06324054910072023,1,0.228310502283105,0.2802746566791511,1,1,0,0,0,0.10460251046025104,67,85.1465398189351
78,1,0,0.06824863804906385,1,0.10273972602739725,0.22846441947565543,1,1,1,0,1,0.12133891213389121,62,64.10925272364585
79,1,0,0.06824863804906385,1,0.07990867579908675,0.09051186017478152,0,1,0,1,1,0.029288702928870293,62,64.10925272364585
80,1,0,0.06824863804906385,1,0.07990867579908675,0.09051186017478152,0,1,1,0,1,0.0041841004184100415,67,85.1465398189351
81,1,0,0.05702090623946682,0,0.17123287671232876,0.22034956304619227,0,1,0,1,1,0.11297071129707113,59,48.319779039435325
82,0,1,0.042478095642355704,1,0.1187214611872146,0.3920099875156055,1,1,0,1,1,0.20920502092050208,54,25.118919748350464
83,0,1,0.042478095642355704,1,0.06621004566210045,0.3595505617977528,0,1,0,1,0,0.13807531380753138,64,74.06782261776891
84,0,1,0.042478095642355704,1,0.20319634703196346,0.31647940074906367,0,0,1,1,1,0.1087866108786611,64,74.06782261776891
85,1,0,0.11358100009152672,1,0.07990867579908675,0.16853932584269662,1,1,0,0,1,0.09623430962343096,60,53.5369034831978
86,1,0,0.11358100009152672,1,0.10273972602739725,0.3564294631710362,0,1,0,1,1,0.17573221757322174,65,78.21083320546263
87,1,0,0.04578517278325753,0,0.07990867579908675,0.1441947565543071,1,1,1,1,1,0.0502092050209205,59,48.319779039435325
88,1,0,0.04578517278325753,1,0.07990867579908675,0.10112359550561797,1,1,0,1,0,0.008368200836820083,65,78.21083320546263
89,1,0,0.04578517278325753,1,0.07990867579908675,0.38264669163545567,1,1,1,1,1,0.09623430962343096,68,88.32284793616695
90,0,1,0.03154691204255714,0,0.07077625570776255,0.5767790262172284,1,1,1,0,1,0.47280334728033474,53,21.052631578947366
91,0,1,0.03154691204255714,1,0.273972602739726,0.20973782771535582,1,1,0,1,1,0.08786610878661087,63,69.38775510204081
92,0,1,0.03154691204255714,1,0.23515981735159816,0.22034956304619227,1,1,0,0,1,0.14644351464435146,59,48.319779039435325
93,0,1,0.03154691204255714,1,0.2328767123287671,0.15043695380774033,0,1,0,1,1,0.09205020920502092,64,74.06782261776891
94,0,1,0.03154691204255714,1,0.1324200913242009,0.2515605493133583,0,1,0,0,0,0.1506276150627615,62,64.10925272364585
95,0,1,0.03154691204255714,1,0.1415525114155251,0.21473158551810237,1,1,1,0,1,0.24267782426778242,55,29.016418597514193
96,0,1,0.03154691204255714,1,0.12557077625570776,0.2303370786516854,1,1,0,0,1,0.21338912133891214,64,74.06782261776891
